URL;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15
M0_36;0;0;0;0;0;0;8;11;1490;704;NA;NA;NA;8;8
M0_37;0;0;0;0;0;0;8;11;1466;680;NA;NA;NA;8;8
M0_38;0;0;0;0;0;0;6;7;913;470;NA;NA;NA;6;6
M0_39;11;0;2;1285;0;0;17;18;2462;1741;4294946623;3,96E+02;4,19E+02;17;6
M0_40;15;0;3;2124;0;0;17;20;12884;2270;4294948178;3,96E+01;4,66E+02;17;2
M0_41;5;0;2;582;0;0;9;9;1097;882;NA;NA;NA;9;4
M0_42;15;0;2;2342;0;0;21;15;7249;2806;4294951689;4,89E+00;3,49E+02;21;6
M0_43;19;1;3;2594;0;0;25;25;7997;3058;4294953475;5,82E+02;5,82E+02;25;6
M0_44;20;0;2;2976;0;0;26;23;7783;3440;4294955245;6,05E+02;5,36E+02;26;6
M0_45;19;0;2;2610;0;0;25;22;7715;3074;4294957029;5,82E+02;5,12E+02;25;6
M0_46;22;0;2;3448;0;0;28;24;9819;3912;4294958837;6,52E+02;5,59E+02;28;6
M0_47;24;0;2;4035;0;0;30;25;12416;4499;4294960477;6,98E+01;5,82E+02;30;6
M0_48;25;0;2;4101;0;0;31;28;12614;4565;4294962115;7,22E+02;6,52E+02;31;6
M0_49;22;0;2;3444;0;0;28;24;9819;3908;4294963675;6,52E+02;5,59E+02;28;6
M0_50;23;0;2;3969;0;0;29;24;12354;4433;4294965376;6,75E+02;5,59E+01;29;6
M0_51;24;0;2;4041;0;0;30;25;12420;4505;4294966953;6,98E+02;5,82E+01;30;6
M0_52;24;0;2;4034;0;0;30;26;12486;4498;1263;0.0237529691211;0.0205859065717;30;6
M0_53;25;0;2;4101;0;0;31;28;12614;4565;2896;0.0107044198895;0.00966850828729;31;6
M0_54;23;0;2;3970;0;0;29;27;12548;4434;4489;0.00646023613277;0.00601470260637;29;6
M0_55;18;0;3;1643;0;0;22;25;14342;1935;NA;NA;NA;22;4
M0_56;0;0;0;0;0;0;0;2;124;0;NA;NA;NA;0;0
M0_57;22;0;3;2316;0;0;26;28;31378;2640;NA;NA;NA;26;4
M0_58;14;1;8;1151;0;0;18;15;1211;1445;273889;6,57E+06;5,48E+06;18;4
M0_59;14;1;8;1151;0;0;18;15;1211;1445;273889;6,57E+06;5,48E+06;18;4
M0_60;19;0;6;1525;0;0;21;13;1363;1667;425317;4,94E+06;3,06E+05;21;2
M0_61;37;0;8;3630;0;0;43;40;34113;4118;NA;NA;NA;43;6
M0_62;8;0;6;801;0;0;10;9;677;951;NA;NA;NA;10;2
M0_63;25;0;5;2262;0;0;29;27;33205;2588;NA;NA;NA;29;4
M0_64;10;0;5;925;0;0;12;12;1399;1079;429476;2,79E+06;2,79E+06;12;2
M0_65;4;0;4;264;0;0;12;11;1474;948;NA;NA;NA;12;8
M0_66;2;0;2;140;0;0;8;8;930;630;NA;NA;NA;8;6
M0_67;38;0;3;4207;0;0;44;45;39662;4679;NA;NA;NA;44;6
M0_68;9;0;4;842;0;0;11;12;2101;994;431700;2,55E+06;2,78E+06;11;2
M0_69;9;0;4;850;0;0;11;9;1354;994;432210;2,55E+06;2,08E+06;11;2
M0_70;7;0;2;722;0;0;11;10;2000;1016;432682;2,54E+06;2,31E+06;11;4
M0_71;7;0;1;717;0;0;11;10;1960;1011;433152;2,54E+06;2,31E+06;11;4
M0_72;7;0;2;722;0;0;11;9;1913;1036;433628;2,54E+05;2,08E+06;11;4
M0_73;7;0;2;707;0;0;11;11;1018;1031;NA;NA;NA;11;4
M0_74;5;0;2;593;0;0;7;8;1128;751;437423;1,60E+06;1,83E+06;7;2
M0_75;9;0;1;1838;0;0;11;13;4524;1992;NA;NA;NA;11;2
M0_76;4;0;4;240;0;0;12;13;1582;916;NA;NA;NA;12;8
M0_77;1;0;1;66;0;0;9;10;1424;766;NA;NA;NA;9;8
M0_78;0;0;0;0;0;0;8;10;1380;656;NA;NA;NA;8;8
M0_79;0;0;0;0;0;0;6;7;918;492;NA;NA;NA;6;6
M0_80;8;0;1;1156;0;0;10;10;2638;1316;440904;2,27E+06;2,27E+06;10;2
M0_81;8;0;2;811;0;0;10;11;6062;961;441502;2,26E+06;2,49E+06;10;2
M0_82;7;0;2;742;0;0;9;10;1263;890;445627;2,02E+06;2,24E+06;9;2
M0_83;10;0;2;1692;0;0;14;15;8467;2004;446090;3,14E+05;3,36E+06;14;4
M0_84;26;12;3;3229;0;0;34;32;16895;3837;454090;7,49E+06;7,05E+06;34;8
M0_85;15;1;7;1863;0;0;19;18;7303;2175;NA;NA;NA;19;4
M0_86;26;11;7;3213;0;0;34;32;16931;3821;465038;7,31E+06;6,88E+06;34;8
M0_87;29;1;7;4558;0;0;31;37;26259;4724;467454;6,63E+05;7,92E+05;31;2
M0_88;7;0;2;746;0;0;9;11;2189;904;468869;1,92E+06;2,35E+06;9;2
M0_89;7;0;2;720;0;0;9;10;1269;868;469382;1,92E+06;2,13E+06;9;2
M0_90;7;0;2;734;0;0;9;9;1097;880;470003;1,91E+06;1,91E+06;9;2
M0_91;8;0;1;809;0;0;12;11;1321;1101;470466;2,55E+06;2,34E+06;12;4
M0_92;7;0;1;737;0;0;11;10;1162;1047;470878;2,34E+06;2,12E+06;11;4
M0_93;7;0;2;752;0;0;9;9;1197;916;471381;1,91E+06;1,91E+06;9;2
M0_94;5;0;2;556;0;0;9;9;1154;860;NA;NA;NA;9;4
M0_95;11;0;1;883;0;0;13;13;8893;1037;NA;NA;NA;13;2
M0_96;8;0;2;1045;0;0;12;11;1362;1333;472983;2,54E+06;2,33E+06;12;4
M0_97;6;0;2;603;0;0;8;9;1580;745;NA;NA;NA;8;2
M0_98;50;0;2;3571;0;0;52;55;66449;3723;484410;0.000107347082017;0.000113540182903;52;2
M0_99;48;0;1;3450;0;0;50;51;66124;3602;484931;0.0001031074524;0.000105169601448;50;2
M0_100;46;0;1;3321;0;0;48;49;66184;3473;485425;9,89E+06;0.000100942473091;48;2
M0_101;49;0;1;3505;0;0;51;53;66214;3657;485921;0.000104955332245;0.000109071227628;51;2
M0_102;52;0;1;3721;0;0;54;57;66445;3873;486435;0.000111011748743;0.000117179068118;54;2
M0_103;50;0;1;3592;0;0;52;53;66100;3744;486950;0.000106787144471;0.000108840743403;52;2
M0_104;41;0;1;2992;0;0;43;44;65646;3144;487525;8,82E+06;9,03E+06;43;2
M0_105;47;0;1;3386;0;0;51;53;66317;3696;488012;0.000104505626911;0.00010860388679;51;4
M0_106;34;0;2;2934;0;0;40;40;34995;3416;488565;8,19E+05;8,19E+05;40;6
M0_107;39;0;3;3240;0;0;45;45;35301;3722;489087;9,20E+06;9,20E+06;45;6
M0_108;39;0;2;3240;0;0;45;45;35301;3722;489598;9,19E+05;9,19E+05;45;6
M0_109;7;0;2;700;0;0;9;10;1153;832;490254;1,84E+06;2,04E+06;9;2
M0_110;18;0;2;2102;0;0;20;21;20976;2252;490801;4,07E+06;4,28E+06;20;2
M0_111;12;0;2;1052;0;0;14;14;11935;1204;493520;2,84E+05;2,84E+05;14;2
M0_112;7;0;2;666;0;0;9;9;1094;826;NA;NA;NA;9;2
M0_113;22;0;3;2790;0;0;26;26;23294;3104;494764;5,26E+06;5,26E+06;26;4
M0_114;17;5;10;1320;0;0;19;21;1967;1474;NA;NA;NA;19;2
M0_115;2;0;2;128;0;0;4;5;407;276;NA;NA;NA;4;2
M0_116;9;0;3;1142;0;0;13;12;1991;1430;508580;2,56E+06;2,36E+06;13;4
M0_117;11;0;3;1274;0;0;15;14;3132;1562;508580;2,95E+06;2,75E+06;15;4
M0_118;16;5;6;1020;0;0;16;8;508;1020;NA;NA;NA;16;0
M0_119;14;4;6;888;0;0;14;6;376;888;NA;NA;NA;14;0
M0_120;14;4;6;888;0;0;14;5;316;888;NA;NA;NA;14;0
M0_121;208;18;9;20074;0;0;228;216;270752;21646;NA;NA;NA;228;20
M0_122;13;1;5;1497;0;0;17;14;2116;1787;551291;3,08E+06;2,54E+06;17;4
M0_123;15;1;5;1635;0;0;21;17;2640;2073;566538;3,71E+06;3,00E+06;21;6
M0_124;21;1;5;2367;0;0;29;26;3801;2957;582752;4,98E+06;4,46E+06;29;8
M0_125;23;1;5;2851;0;0;31;26;3814;3431;597978;5,18E+06;4,35E+06;31;8
M0_126;12;1;5;1340;0;0;16;12;964;1622;625035;2,56E+06;1,92E+06;16;4
M0_127;12;1;5;1340;0;0;16;12;964;1622;625035;2,56E+06;1,92E+06;16;4
M0_128;7;1;5;466;0;0;11;10;822;760;NA;NA;NA;11;4
M0_129;7;1;5;466;0;0;11;10;822;760;NA;NA;NA;11;4
M0_130;27;5;8;2721;0;0;35;27;3896;3313;687127;5,09E+06;3,93E+06;35;8
M0_131;17;1;7;1770;0;0;23;17;2579;2210;702417;3,27E+05;2,42E+06;23;6
M0_132;11;1;4;1266;0;0;15;12;966;1554;717756;2,09E+06;1,67E+06;15;4
M0_133;11;1;4;1266;0;0;15;12;966;1554;717756;2,09E+06;1,67E+06;15;4
M0_134;21;1;5;2359;0;0;29;23;3542;2951;743636;3,90E+06;3,09E+06;29;8
M0_135;19;1;5;2223;0;0;25;20;2868;2661;759305;3,29E+06;2,63E+06;25;6
M0_136;22;1;5;2783;0;0;30;26;3824;3367;774472;3,87E+06;3,36E+06;30;8
M0_137;18;1;5;2157;0;0;24;22;2996;2595;789627;3,04E+06;2,79E+06;24;6
M0_138;18;1;5;2147;0;0;24;20;2848;2577;804978;2,98E+06;2,48E+06;24;6
M0_139;12;1;4;1325;0;0;18;14;2091;1749;820462;2,19E+06;1,71E+06;18;6
M0_140;14;1;4;1457;0;0;20;16;3229;1881;820462;2,44E+06;1,95E+06;20;6
M0_141;4;0;4;264;0;0;4;6;388;264;NA;NA;NA;4;0
M0_142;4;0;4;264;0;0;4;6;388;264;NA;NA;NA;4;0
M0_143;11;1;4;1266;0;0;15;12;960;1548;846877;1,77E+06;1,42E+06;15;4
M0_144;11;1;4;1266;0;0;15;12;960;1548;846877;1,77E+06;1,42E+06;15;4
M0_145;26;5;8;2329;0;0;32;25;4850;2759;872081;3,67E+06;2,87E+06;32;6
M0_146;23;1;4;2912;0;0;31;25;3753;3494;887228;3,49E+06;2,82E+06;31;8
M0_147;20;1;4;2330;0;0;28;24;3609;2912;902376;3,10E+06;2,66E+06;28;8
M0_148;19;1;5;2223;0;0;25;22;2996;2661;917466;2,72E+06;2,40E+06;25;6
M0_149;17;1;6;1661;0;0;23;19;2944;2123;932899;2,47E+06;2,04E+06;23;6
M0_150;20;0;6;2328;0;0;26;26;3285;2772;934134;2,78E+06;2,78E+06;26;6
M0_151;22;1;5;2813;0;0;30;27;3916;3409;949127;3,16E+06;2,84E+06;30;8
M0_152;23;1;5;2864;0;0;31;25;3773;3454;964185;3,22E+06;2,59E+06;31;8
M0_153;18;1;5;2188;0;0;24;22;3031;2640;979464;2,45E+06;2,25E+06;24;6
M0_154;18;1;4;2185;0;0;24;21;2969;2637;994460;2,41E+06;2,11E+06;24;6
M0_155;18;1;5;2185;0;0;24;21;2969;2637;1010229;2,38E+06;2,08E+06;24;6
M0_156;15;1;5;1653;0;0;21;19;2798;2103;1025859;2,05E+06;1,85E+06;21;6
M0_157;19;1;5;2227;0;0;27;23;3612;2819;1041657;2,59E+06;2,21E+06;27;8
M0_158;21;1;5;2383;0;0;29;25;3786;2983;1056821;2,74E+06;2,37E+06;29;8
M0_159;15;1;5;1632;0;0;21;18;2661;2068;1072136;1,96E+06;1,68E+06;21;6
M0_160;19;1;5;2243;0;0;25;22;3021;2691;1087542;2,30E+06;2,02E+06;25;6
M0_161;16;1;5;1609;0;0;22;20;2655;2119;1102744;2,00E+06;1,81E+06;22;6
M0_162;2;0;2;132;0;0;10;14;1594;748;NA;NA;NA;10;8
M0_163;4;0;2;547;0;0;10;9;1027;999;1114159;8,98E+05;8,08E+05;10;6
M0_164;12;8;1;2037;0;0;16;16;6187;2355;1114159;1,44E+06;1,44E+06;16;4
M0_165;15;1;2;1850;0;0;21;23;2970;2302;1118192;1,88E+06;2,06E+06;21;6
M0_166;26;0;3;3569;0;0;32;31;10750;4037;1120681;2,86E+06;2,77E+06;32;6
M0_167;11;0;3;1260;0;0;19;17;2399;1850;1121673;1,69E+06;1,52E+06;19;8
M0_168;11;0;3;1260;0;0;19;17;2399;1850;1121673;1,69E+06;1,52E+06;19;8
M0_169;6;0;4;372;0;0;8;10;703;520;NA;NA;NA;8;2
M0_170;7;0;2;736;0;0;11;9;1374;1058;1137352;9,67E+05;7,91E+05;11;4
M0_171;24;0;3;2508;0;0;30;30;21098;2992;1137850;2,64E+06;2,64E+06;30;6
M0_172;3;0;2;198;0;0;3;6;384;198;NA;NA;NA;3;0
M0_173;3;0;2;198;0;0;3;6;384;198;NA;NA;NA;3;0
M0_174;3;0;2;198;0;0;3;6;384;198;NA;NA;NA;3;0
M0_175;2;0;1;132;0;0;2;5;318;132;NA;NA;NA;2;0
M0_176;44;2;10;5009;0;0;50;50;40316;5511;1142408;4,38E+06;4,38E+06;50;6
M0_177;12;1;5;1366;0;0;18;17;2000;1850;1145435;1,57E+06;1,48E+06;18;6
M0_178;10;0;4;903;0;0;14;12;1489;1205;NA;NA;NA;14;4
M0_179;12;0;2;1961;0;0;16;14;2991;2245;1154896;1,39E+06;1,21E+06;16;4
M0_180;9;0;4;850;0;0;11;14;1382;990;1158306;9,50E+05;1,21E+06;11;2
M0_181;6;0;1;687;0;0;8;10;1426;841;1158825;6,90E+05;8,63E+05;8;2
M0_182;1;0;1;66;0;0;9;11;1434;710;NA;NA;NA;9;8
M0_183;0;0;0;0;0;0;8;10;1344;620;NA;NA;NA;8;8
M0_184;3;0;1;441;0;0;9;9;1040;887;NA;NA;NA;9;6
M0_185;6;0;1;603;0;0;8;8;1220;745;NA;NA;NA;8;2
M0_186;15;0;4;1933;0;0;21;19;2788;2367;1160843;1,81E+05;1,64E+06;21;6
M0_187;5;1;3;330;0;0;13;14;1610;962;NA;NA;NA;13;8
M0_188;3;0;1;210;0;0;11;13;1510;802;NA;NA;NA;11;8
M0_189;5;0;2;362;0;0;11;12;1182;816;NA;NA;NA;11;6
M0_190;14;0;2;1489;0;0;20;18;2274;1943;1177845;1,70E+06;1,53E+06;20;6
M0_191;16;0;4;2238;0;0;22;19;2864;2680;1179269;1,87E+06;1,61E+05;22;6
M0_192;29;2;6;3605;0;0;35;33;4992;4047;1184300;2,96E+06;2,79E+06;35;6
M0_193;33;0;8;3228;0;0;37;38;23727;3550;1187630;3,12E+06;3,20E+06;37;4
M0_194;24;2;6;3106;0;0;28;29;10088;3412;NA;NA;NA;28;4
M0_195;17;0;2;2691;0;0;21;22;8184;2997;NA;NA;NA;21;4
M0_196;12;0;4;1312;0;0;16;14;2451;1652;1191580;1,34E+06;1,17E+06;16;4
M0_197;8;0;3;750;0;0;12;9;1334;1068;NA;NA;NA;12;4
M0_198;7;0;2;725;0;0;11;11;1553;1021;1192448;9,22E+05;9,22E+05;11;4
M0_199;7;0;2;672;0;0;11;9;1286;996;NA;NA;NA;11;4
M0_200;2;0;2;120;0;0;8;9;1031;624;NA;NA;NA;8;6
M0_201;7;0;2;750;0;0;9;9;1192;914;1193811;7,54E+05;7,54E+05;9;2
M0_202;21;0;4;2660;0;0;27;27;12136;3168;1194248;2,26E+06;2,26E+06;27;6
M0_203;8;0;3;516;0;0;8;6;370;516;NA;NA;NA;8;0
M0_204;8;0;3;516;0;0;8;6;370;516;NA;NA;NA;8;0
M0_205;8;0;3;516;0;0;8;6;370;516;NA;NA;NA;8;0
M0_206;48;20;9;4592;0;0;56;49;5720;5176;1252796;4,47E+06;3,91E+06;56;8
M0_207;28;0;6;3512;0;0;36;29;4090;4096;1252796;2,87E+06;2,31E+06;36;8
M0_208;107;80;8;13889;0;0;125;129;104523;15257;1257389;9,94E+06;0.000102593549013;125;18
M0_209;79;73;6;10180;0;0;87;103;95675;10804;NA;NA;NA;87;8
M0_210;73;73;1;9820;0;0;81;95;95165;10444;NA;NA;NA;81;8
M0_211;71;71;1;9171;0;0;79;95;95157;9795;NA;NA;NA;79;8
M0_212;132;71;9;20762;0;0;158;154;118646;22860;1261348;0.000125262814069;0.000122091603586;158;26
M0_213;132;69;5;21576;0;0;146;152;132794;22632;1263090;0.000115589546271;0.000120339801598;146;14
M0_214;172;105;11;23776;0;0;190;170;110923;25190;1264348;0.000150275082493;0.000134456652757;190;18
M0_215;56;53;2;5700;0;0;60;56;69774;6014;1266005;4,74E+06;4,42E+06;60;4
M0_216;94;87;4;12892;0;0;106;102;93857;13796;1266689;8,37E+06;8,05E+06;106;12
M0_217;114;107;5;13223;0;0;128;134;123164;14289;1267245;0.000101006514131;0.000105741194481;128;14
M0_218;79;72;3;10372;0;0;89;104;98576;11150;1267719;7,02E+06;8,20E+06;89;10
M0_219;76;72;4;9569;0;0;88;86;82795;10495;1268519;6,94E+06;6,78E+06;88;12
M0_220;24;0;6;2725;0;0;30;19;2878;3175;1419896;2,11E+06;1,34E+06;30;6
M0_221;25;0;8;2752;0;0;31;30;3592;3202;1451786;2,14E+06;2,07E+06;31;6
M0_222;30;0;8;3667;0;0;36;33;5275;4117;1455996;2,47E+05;2,27E+05;36;6
M0_223;29;0;8;3595;0;0;35;33;5275;4045;1459193;2,40E+06;2,26E+06;35;6
M0_224;29;0;8;3609;0;0;35;33;5271;4059;1462469;2,39E+05;2,26E+06;35;6
M0_225;30;0;8;3681;0;0;36;34;5341;4131;1465723;2,46E+06;2,32E+06;36;6
M0_226;30;0;8;3675;0;0;36;34;5337;4125;1468902;2,45E+04;2,31E+06;36;6
M0_227;31;0;8;3758;0;0;37;32;5209;4208;1471894;2,51E+06;2,17E+06;37;6
M0_228;33;0;8;3884;0;0;41;37;6893;4512;1475095;2,78E+06;2,51E+06;41;8
M0_229;27;0;8;2893;0;0;33;31;3652;3343;1478406;2,23E+06;2,10E+06;33;6
M0_230;32;0;8;3803;0;0;38;32;5209;4253;1481683;2,56E+06;2,16E+06;38;6
M0_231;30;0;8;3692;0;0;36;35;6657;4142;1484878;2,42E+06;2,36E+06;36;6
M0_232;30;0;8;3661;0;0;36;33;5281;4111;1488863;2,42E+06;2,22E+06;36;6
M0_233;31;0;8;3732;0;0;37;34;6589;4182;1491892;2,48E+06;2,28E+05;37;6
M0_234;30;0;8;3663;0;0;36;34;5343;4113;1494839;2,41E+06;2,27E+06;36;6
M0_235;31;0;8;3729;0;0;39;36;6874;4357;1498293;2,60E+06;2,40E+06;39;8
M0_236;26;0;8;2516;0;0;32;29;3456;2966;1502914;2,13E+06;1,93E+06;32;6
M0_237;34;0;8;3949;0;0;42;35;6812;4577;1507174;2,79E+05;2,32E+06;42;8
M0_238;28;0;8;3542;0;0;34;36;5469;3992;1511567;2,25E+06;2,38E+06;34;6
M0_239;30;0;8;3662;0;0;38;35;6806;4290;1514926;2,51E+06;2,31E+06;38;8
M0_240;30;0;8;3674;0;0;38;35;6651;4302;1518059;2,50E+06;2,31E+06;38;8
M0_241;31;0;8;3728;0;0;39;35;6765;4356;1521277;2,56E+06;2,30E+06;39;8
M0_242;31;0;8;3729;0;0;37;34;5343;4179;1525794;2,42E+06;2,23E+06;37;6
M0_243;30;0;8;3663;0;0;36;33;5275;4113;1529022;2,35E+05;2,16E+06;36;6
M0_244;33;0;9;4196;0;0;41;37;7050;4824;1532399;2,68E+06;2,41E+06;41;8
M0_245;30;0;8;3661;0;0;38;35;6812;4289;1535731;2,47E+06;2,28E+06;38;8
M0_246;29;0;8;3596;0;0;35;34;5337;4046;1538924;2,27E+06;2,21E+06;35;6
M0_247;30;0;8;3660;0;0;38;34;6589;4288;1542190;2,46E+06;2,20E+06;38;8
M0_248;31;0;9;3747;0;0;39;37;7038;4375;1545640;2,52E+06;2,39E+06;39;8
M0_249;30;0;8;3677;0;0;36;34;6589;4127;1548906;2,32E+06;2,20E+06;36;6
M0_250;28;0;7;3540;0;0;36;37;6940;4168;1553730;2,32E+06;2,38E+06;36;8
M0_251;33;0;9;4185;0;0;41;36;6990;4813;1558457;2,63E+06;2,31E+06;41;8
M0_252;30;0;8;3673;0;0;38;35;6765;4301;1561582;2,43E+06;2,24E+06;38;8
M0_253;30;0;8;3680;0;0;36;31;5149;4130;1565570;2,30E+06;1,98E+06;36;6
M0_254;30;0;8;3678;0;0;36;34;6589;4128;1568885;2,29E+06;2,17E+06;36;6
M0_255;30;0;8;3665;0;0;38;34;6595;4293;1572264;2,42E+05;2,16E+06;38;8
M0_256;26;0;8;3423;0;0;34;34;6589;4051;1603678;2,12E+06;2,12E+06;34;8
M0_257;32;0;8;3814;0;0;38;35;6661;4264;1608225;2,36E+06;2,18E+05;38;6
M0_258;30;0;8;3797;0;0;38;35;6806;4425;1611708;2,36E+06;2,17E+06;38;8
M0_259;33;0;9;4256;0;0;41;37;7056;4884;1615131;2,54E+06;2,29E+05;41;8
M0_260;30;0;8;3741;0;0;36;33;5275;4191;1618661;2,22E+06;2,04E+06;36;6
M0_261;28;0;6;3617;0;0;34;29;6271;4067;1621401;2,10E+06;1,79E+06;34;6
M0_262;29;0;6;3694;0;0;37;30;6488;4322;1624057;2,28E+06;1,85E+05;37;8
M0_263;28;0;6;3633;0;0;36;30;6441;4261;1626596;2,21E+06;1,84E+06;36;8
M0_264;29;0;7;3686;0;0;37;32;6720;4314;1629228;2,27E+06;1,96E+06;37;8
M0_265;37;0;6;4603;0;0;45;37;8560;5231;1631320;2,76E+06;2,27E+06;45;8
M0_266;36;0;7;4725;0;0;44;35;8432;5353;1632839;2,69E+06;2,14E+06;44;8
M0_267;34;0;6;4592;0;0;42;34;6027;5186;1634455;2,57E+06;2,08E+06;42;8
M0_268;34;0;4;4920;0;0;42;35;9241;5548;1635477;2,57E+06;2,14E+06;42;8
M0_269;37;0;7;4856;0;0;45;36;8498;5484;1637109;2,75E+06;2,20E+06;45;8
M0_270;30;0;6;3730;0;0;36;27;4891;4180;1638722;2,20E+05;1,65E+06;36;6
M0_271;35;0;7;4405;0;0;43;33;6324;5033;1640334;2,62E+06;2,01E+06;43;8
M0_272;37;0;6;5110;0;0;45;34;6809;5704;1642387;2,74E+06;2,07E+05;45;8
M0_273;28;0;4;3957;0;0;36;30;6132;4585;1643373;2,19E+06;1,83E+06;36;8
M0_274;37;0;6;5160;0;0;45;35;6875;5754;1645017;2,74E+06;2,13E+06;45;8
M0_275;28;0;4;3963;0;0;36;29;6064;4591;1645995;2,19E+06;1,76E+05;36;8
M0_276;37;0;7;4782;0;0;45;37;8560;5410;1647595;2,73E+06;2,25E+06;45;8
M0_277;37;0;7;4923;0;0;45;37;8560;5551;1649145;2,73E+05;2,24E+06;45;8
M0_278;37;0;7;4853;0;0;45;37;8560;5481;1650710;2,73E+06;2,24E+06;45;8
M0_279;31;0;7;3811;0;0;39;32;6250;4439;1652271;2,36E+06;1,94E+06;39;8
M0_280;30;0;6;3673;0;0;38;30;6018;4301;1653840;2,30E+06;1,81E+06;38;8
M0_281;33;0;6;3921;0;0;45;35;5546;4821;1656335;2,72E+06;2,11E+06;45;12
M0_282;33;0;6;3921;0;0;45;35;5546;4821;1656335;2,72E+06;2,11E+06;45;12
M0_283;32;0;3;4748;0;0;40;36;6943;5342;1657404;2,41E+06;2,17E+06;40;8
M0_284;28;0;4;3893;0;0;36;30;6132;4521;1658375;2,17E+06;1,81E+06;36;8
M0_285;37;0;7;4790;0;0;45;37;8560;5418;1659981;2,71E+06;2,23E+06;45;8
M0_286;36;0;6;4988;0;0;44;34;6809;5582;1661950;2,65E+05;2,05E+06;44;8
M0_287;29;0;4;4328;0;0;37;32;8240;4956;1662918;2,23E+06;1,92E+06;37;8
M0_288;35;0;6;4334;0;0;43;35;8432;4962;1664453;2,58E+06;2,10E+06;43;8
M0_289;39;0;6;5268;0;0;47;35;6871;5862;1666096;2,82E+06;2,10E+06;47;8
M0_290;30;0;4;4332;0;0;38;34;8368;4960;1667085;2,28E+06;2,04E+06;38;8
M0_291;35;0;7;4402;0;0;43;35;8432;5030;1668684;2,58E+06;2,10E+06;43;8
M0_292;23;0;6;2395;0;0;29;22;3004;2845;1670243;1,74E+05;1,32E+06;29;6
M0_293;23;0;6;2404;0;0;29;23;3066;2854;1673157;1,73E+06;1,37E+06;29;6
M0_294;34;0;7;4265;0;0;42;35;8432;4893;1676117;2,51E+06;2,09E+06;42;8
M0_295;34;0;7;4265;0;0;42;32;6262;4893;1677688;2,50E+06;1,91E+06;42;8
M0_296;36;0;7;4715;0;0;44;35;8432;5343;1679255;2,62E+06;2,08E+06;44;8
M0_297;39;0;7;5236;0;0;47;37;9367;5864;1680791;2,80E+06;2,20E+06;47;8
M0_298;39;0;6;5236;0;0;47;37;9367;5864;1682326;2,79E+05;2,20E+06;47;8
M0_299;33;0;6;4200;0;0;41;32;6262;4828;1683903;2,43E+06;1,90E+06;41;8
