URL;A1;A2;A4;A5;A6;A7;A8;A9;A10;A11;A12
B0_44;29;6;ISO-8859-1;None;None;34;US;California;2/12/1998 0:00;2/12/2016 0:00;scriptperfection.com
B0_45;47;11;UTF-8;mw2241.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;None;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_46;110;15;ISO-8859-1;Apache/2.0.63 (Unix) mod_ssl/2.0.63 OpenSSL/0.9.8e-fips-rhel5 mod_auth_passthrough/2.1 mod_bwlimited/1.4 PHP/5.3.6;None;22264;US;Florida;10/03/2006 0:00;14/02/2016 0:00;physicianassistantforum.com
B0_47;69;13;utf-8;ATS;private,no-cache,must-revalidate;None;US;CA;18/01/1995 0:00;26/08/2015 0:00;yahoo.com
B0_48;54;11;UTF-8;Apache;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;26;US;FL;7/11/1996 0:00;25/08/2015 0:00;hotmovies.com
B0_49;44;8;UTF-8;Apache/2.4.6 (CentOS);max-age=0, no-cache, no-store;25825;US;CA;25/01/1995 0:00;5/12/2013 0:00;reference.com
B0_50;39;8;us-ascii;Microsoft-HTTPAPI/2.0;None;324;TR;TR;28/10/2008 0:00;3/04/2016 0:00;kingofgames.net
B0_51;44;8;UTF-8;Server;None;None;US;WA;5/01/1996 0:00;5/05/2016 0:00;imdb.com
B0_52;63;11;utf-8;DMS/1.0.42;no-cache;42913;FR;None;15/03/2005 0:00;28/06/2016 0:00;dailymotion.com
B0_54;123;21;utf-8;Apache/2.4.7 (Ubuntu);public, max-age=600;5268;None;None;31/08/2003 0:00;31/03/2016 0:00;pharmainfo.net
B0_55;46;10;ISO-8859-1;nginx;private, no-cache, no-store, must-revalidate;1519;US;Ohio;8/01/2004 0:00;3/01/2017 0:00;manta.com
B0_56;56;12;ISO-8859-1;nginx;private, no-cache, no-store, must-revalidate;1523;US;Ohio;8/01/2004 0:00;3/01/2017 0:00;manta.com
B0_57;90;17;UTF-8;nginx/0.8.55;None;None;CA;ON;27/05/2006 0:00;8/08/2015 0:00;firstshowing.net
B0_58;69;11;utf-8;Apache;public, max-age=0;None;None;None;1/06/2006 0:00;6/03/2017 0:00;tvchoicemagazine.co.uk
B0_59;37;9;UTF-8;nginx;None;None;PH;Manila;17/02/2011 0:00;18/02/2017 0:00;croonet.com
B0_60;36;7;iso-8859-1;Apache/2.0.52 (Red Hat);None;293;US;TX;16/07/1998 0:00;16/05/2016 0:00;popculturetoday.com
B0_61;39;8;utf-8;YouTubeFrontEnd;no-cache;None;US;CA;15/02/2005 0:00;14/01/2017 0:00;youtube.com
B0_62;160;29;UTF-8;None;public, max-age=300;36829;US;CA;14/08/1997 0:00;14/06/2016 0:00;pressbanner.com
B0_64;46;10;ISO-8859-1;Microsoft-IIS/8.5;private;8745;None;None;None;None;spu.edu
B0_65;31;6;us-ascii;Microsoft-HTTPAPI/2.0;None;324;None;None;None;None;californiacolleges.edu
B0_66;71;11;utf-8;nginx/1.7.4;private, max-age=0, must-revalidate;None;PA;PANAMA;28/11/1999 0:00;4/04/2017 0:00;musicianguide.com
B0_67;48;11;UTF-8;Apache/2.2.31 (Amazon);None;1371;None;None;28/04/2003 0:00;29/04/2016 0:00;jinni.com
B0_69;36;7;iso-8859-1;Apache/2.2.22;None;231;None;None;9/02/2001 0:00;28/12/2016 0:00;candeal.ca
B0_70;60;12;UTF-8;Apache;private;None;None;None;16/05/2001 0:00;17/03/2016 0:00;canardscanins.ca
B0_71;48;9;utf-8;Apache;private, s-maxage=0, max-age=0, must-revalidate;46579;CA;ON;9/12/2003 0:00;22/10/2016 0:00;wikia.com
B0_72;71;12;UTF-8;Server;no-cache;None;US;NV;1/11/1994 0:00;30/04/2014 0:00;amazon.com
B0_73;30;7;ISO-8859-1;Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1;None;None;US;GA;29/05/1996 0:00;21/03/2017 0:00;airnav.com
B0_74;45;9;windows-1252;fbs;no-cache, no-store, must-revalidate;None;US;WA;7/04/2003 0:00;1/11/2013 0:00;cellartracker.com
B0_75;57;11;utf-8;Apache;no-store, no-cache, must-revalidate, post-check=0, pre-check=0, no-cache;None;US;CO;8/05/2003 0:00;5/05/2015 0:00;photobucket.com
B0_76;65;12;ISO-8859-1;Apache;None;None;US;DE;5/03/1998 0:00;29/02/2016 0:00;travelpod.com
B0_77;82;18;UTF-8;GSE;no-cache, no-store, max-age=0, must-revalidate;53520;US;CA;31/07/2000 0:00;29/06/2016 0:00;blogspot.com
B0_78;64;13;us-ascii;Microsoft-IIS/7.5;None;324;NO;Rogaland;7/04/2006 10:47;19/04/2017 12:59;cheap-credit-cards.org
B0_79;68;11;UTF-8;nginx;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;None;US;Arizona;26/01/2006 21:09;11/04/2017 23:16;wikimapia.org
B0_80;76;12;us-ascii;Microsoft-HTTPAPI/2.0;None;324;None;None;2/10/2007 0:00;20/07/2014 0:00;corporationwiki.com
B0_81;76;13;us-ascii;Microsoft-IIS/7.5;None;324;None;None;14/12/2004 0:00;None;wkdialogue.ch
B0_82;35;8;UTF-8;Server;None;None;US;WA;5/01/1996 0:00;5/05/2016 0:00;imdb.com
B0_83;81;12;ISO-8859-1;Apache;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;4897;US;Florida;20/08/2000 0:00;25/02/2017 0:00;familytreeguide.com
B0_84;139;21;utf-8;Apache/2.2.15 (Red Hat);public, max-age=10;35170;None;None;None;None;rice.edu
B0_85;39;8;utf-8;YouTubeFrontEnd;no-cache;None;US;CA;15/02/2005 0:00;14/01/2017 0:00;youtube.com
B0_86;57;7;UTF-8;Apache/2.2.31 (Amazon);None;1182;None;None;29/07/2004 0:00;3/01/2016 0:00;foodpages.ca
B0_87;59;12;UTF-8;cloudflare-nginx;no-store, no-cache, must-revalidate;None;US;FL;19/03/1999 0:00;11/03/2012 0:00;gagosian.com
B0_88;67;13;utf-8;Apache-Coyote/1.1;public, max-age=300, s-maxage=300;None;US;OH;2/05/1996 0:00;4/04/2017 0:00;ohio.com
B0_89;52;9;utf-8;Zope/(2.13.16, python 2.6.8, linux2) ZServer/1.1;None;28239;None;None;None;None;washington.edu
B0_90;38;7;UTF-8;GSE;no-cache, no-store, max-age=0, must-revalidate;7868;US;CA;31/07/2000 0:00;29/06/2016 0:00;blogspot.com
B0_91;53;11;ISO-8859-1;cloudflare-nginx;None;None;None;None;1/03/2008 0:00;17/04/2015 0:00;mp3boo.com
B0_92;42;8;utf-8;None;no-cache;None;US;CA;22/02/1996 0:00;16/01/2015 0:00;myspace.com
B0_93;59;10;utf-8;Microsoft-IIS/8.5;private;19867;None;None;16/06/1996 0:00;28/03/2016 0:00;athletic.net
B0_95;49;10;iso-8859-1;Apache;None;236;US;UT;16/05/1995 0:00;21/10/2016 0:00;ancestry.com
B0_96;28;6;utf-8;None;no-cache;None;US;CA;22/02/1996 0:00;16/01/2015 0:00;myspace.com
B0_97;82;14;UTF-8;cloudflare-nginx;no-cache, must-revalidate, max-age=0;None;None;None;17/04/1996 0:00;18/04/2017 0:00;electronichouse.com
B0_98;56;11;utf-8;nginx/1.6.3 + Phusion Passenger;max-age=0, private, must-revalidate;None;None;None;20/04/2001 0:00;22/05/2015 0:00;ratemyteachers.com
B0_99;78;16;ISO-8859-1;MI;max-age=0, no-cache, no-store;2743;US;CA;24/02/1996 0:00;18/01/2017 0:00;kansascity.com
B0_100;63;14;ISO-8859-1;cloudflare-nginx;None;None;None;None;26/01/2007 0:00;21/01/2016 0:00;8asians.com
B0_101;81;14;UTF-8;GSE;no-cache, no-store, max-age=0, must-revalidate;10527;US;CA;31/07/2000 0:00;29/06/2016 0:00;blogspot.com
B0_102;23;6;utf-8;Apache;post-check=0, pre-check=0;None;US;FL;28/02/2008 10:58;14/02/2017 20:27;elpasoymca.org
B0_103;125;20;utf-8;nginx;None;None;US;California;24/09/2006 0:00;26/08/2015 0:00;scribd.com
B0_104;42;7;utf-8;Apache/2.4.6;;None;US;FL;24/05/2004 0:00;16/03/2017 0:00;freepatentsonline.com
B0_106;62;13;ISO-8859-1;Apache;None;6567;US;FL;24/04/1999 0:00;23/02/2015 0:00;baseball-almanac.com
B0_107;41;6;iso-8859-1;nginx;None;318;None;None;21/11/2016 0:00;13/01/2017 0:00;asiancanadianwritersworkshop.com
B0_108;24;6;utf-8;openresty;no-cache;None;LU;None;7/01/2006 0:00;14/12/2016 0:00;redtube.com
B0_109;38;8;ISO-8859-1;Apache/1.3.39 (Unix) PHP/5.2.5 mod_auth_passthrough/1.8 mod_bwlimited/1.4 mod_log_bytes/1.2 mod_gzip/1.3.26.1a FrontPage/5.0.2.2635 DAV/1.0.3 mod_ssl/2.8.30 OpenSSL/0.9.7a;None;None;None;None;25/02/2006 0:00;26/02/2016 0:00;genealogytrails.com
B0_110;34;7;ISO-8859-1;None;None;1819;US;CA;2/11/2002 0:00;2/02/2017 0:00;linkedin.com
B0_112;46;9;ISO-8859-1;None;private, no-cache, no-store, must-revalidate;None;US;CA;29/03/1997 0:00;29/11/2016 0:00;facebook.com
B0_113;17;6;ISO-8859-1;nginx;None;162;US;AK;7/10/1997 4:00;12/09/2013 0:45;aste.org
B0_114;105;21;UTF-8;Apache;max-age=1800;26857;US;MO;3/09/1996 0:00;8/12/2016 0:00;ynn.com
B0_115;69;13;iso-8859-1;Apache/2.2.31 (FreeBSD) PHP/5.4.15 mod_ssl/2.2.31 OpenSSL/1.0.2d DAV/2;None;248;None;None;18/10/2000 0:00;30/10/2016 0:00;web.ca
B0_116;40;9;UTF-8;Apache;None;7942;US;CA;2/10/2005 0:00;3/10/2016 0:00;otakureview.net
B0_118;81;18;iso-8859-1;Apache/2.2.15 (CentOS);None;213;US;OK;7/07/1999 0:00;24/05/2016 0:00;newsok.com
B0_119;60;11;iso-8859-1;Apache;None;198;HK;None;1/09/2016 0:00;2/09/2016 0:00;mp3videosearch.com
B0_120;43;8;iso-8859-1;Apache;None;236;US;ca;9/05/2004 18:06;24/04/2017 11:55;history-world.org
B0_122;87;13;UTF-8;mw2180.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;15187;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_123;46;11;UTF-8;mw2255.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;4698;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_124;46;9;ISO-8859-1;Apache;no-cache;2393;US;NY;18/01/1994 0:00;21/10/2016 0:00;nytimes.com
B0_125;39;6;utf-8;None;no-cache;None;US;CA;22/02/1996 0:00;16/01/2015 0:00;myspace.com
B0_126;24;6;ISO-8859-1;None;None;34;US;VA;5/03/1996 5:00;27/05/2016 14:46;innsofcourt.org
B0_127;38;9;utf-8;Apache;private, must-revalidate, s-maxage=0, max-age=0;68067;US;MO;20/05/1996 0:00;24/10/2016 0:00;answers.com
B0_128;32;9;utf-8;KHL;public,max-age=60;420762;None;None;10/05/2006 20:00;None;khl.ru
B0_129;80;12;UTF-8;GSE;private, max-age=0;38149;US;CA;31/07/2000 0:00;29/06/2016 0:00;blogspot.com
B0_130;70;12;ISO-8859-1;Apache/2.2.24 (Unix) DAV/2 PHP/5.3.26 mod_ssl/2.2.24 OpenSSL/0.9.8y;None;None;None;None;3/06/1998 0:00;2/06/2016 0:00;greatbuildings.com
B0_131;48;9;ISO-8859-1;None;None;1819;US;CA;2/11/2002 0:00;2/02/2017 0:00;linkedin.com
B0_132;73;13;iso-8859-1;Apache/2.2.15 (CentOS);None;None;US;UT;16/05/1995 0:00;21/10/2016 0:00;ancestry.com
B0_133;69;13;ISO-8859-1;nginx/1.4.6 (Ubuntu);None;None;PA;PANAMA;2/04/2008 0:00;13/06/2016 0:00;dramacrazy.net
B0_134;78;16;UTF-8;cloudflare-nginx;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;None;US;LA;20/10/2003 0:00;15/01/2015 0:00;torrentreactor.net
B0_135;115;20;UTF-8;Apache;no-cache;10315;US;NY;18/01/1994 0:00;21/10/2016 0:00;nytimes.com
B0_137;49;9;iso-8859-1;Apache/2.2.29 (Unix) mod_ssl/2.2.29 OpenSSL/1.0.1e-fips mod_bwlimited/1.4;None;475;None;None;23/08/2010 0:00;17/04/2015 0:00;laundry-detergent-coupons.com
B0_138;39;8;utf-8;YouTubeFrontEnd;no-cache;None;US;CA;15/02/2005 0:00;14/01/2017 0:00;youtube.com
B0_139;93;19;ISO-8859-1;Microsoft-IIS/7.5;private;16479;US;va;29/04/1994 0:00;30/08/2013 0:00;usatoday.com
B0_140;31;6;ISO-8859-1;None;private, no-cache, no-store, must-revalidate;None;US;CA;29/03/1997 0:00;29/11/2016 0:00;facebook.com
B0_141;72;15;UTF-8;Apache/2.4.16 (Ubuntu);"no-cache, no-cache=""set-cookie""";None;US;CA;22/09/2002 0:00;22/09/2016 0:00;justia.com
B0_142;80;13;utf-8;cloudflare-nginx;public, max-age=14400;None;US;CA;18/01/1995 0:00;26/08/2015 0:00;yahoo.com
B0_143;123;24;UTF-8;nginx;None;None;US;NJ;26/05/1994 0:00;21/05/2016 0:00;wsj.com
B0_144;35;6;us-ascii;Microsoft-IIS/7.5;None;324;None;None;21/03/2014 0:00;22/03/2017 0:00;nationalgaragebuilders.com
B0_145;126;22;utf-8;IdeaWebServer/v0.80;private, max-age=300, no-cache;None;US;IL;3/06/1997 0:00;1/06/2016 0:00;polishnews.com
B0_146;42;9;UTF-8;Apache;None;7509;None;None;16/08/1999 0:00;17/08/2013 0:00;offoffoff.com
B0_147;74;15;UTF-8;Apache-Coyote/1.1;no-cache;46884;None;None;16/09/2004 0:00;28/03/2016 0:00;zillow.com
B0_148;68;11;utf-8;lighttpd/1.4.28;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;6795;SE;None;24/09/2009 0:00;1/03/2017 0:00;canadianlisted.com
B0_150;51;10;iso-8859-1;Apache/2.2.11 (Unix) PHP/5.2.6;None;231;CN;beijingshi;7/03/2000 0:00;27/03/2017 0:00;tootoo.com
B0_151;70;15;UTF-8;294;None;11397;None;None;11/01/2005 0:00;23/01/2014 0:00;4shared.com
B0_153;47;10;UTF-8;None;no-store, no-cache, must-revalidate, no-cache, private;None;US;WA;1/06/2001 0:00;17/05/2016 0:00;enotes.com
B0_155;39;8;UTF-8;nginx;no-cache, private;None;FR;None;4/09/1996 4:00;26/04/2016 9:14;geneanet.org
B0_156;183;29;ISO-8859-1;Microsoft-IIS/7.5, litigation_essentials.lexisnexis.com  9999;max-age=0, no-cache, no-store, no-transform, private;4890;US;NY;26/06/1997 0:00;18/11/2014 0:00;lexisnexis.com
B0_157;61;11;ISO-8859-1;Apache/2.4.10 (Ubuntu);no-store, no-cache, must-revalidate, post-check=0, pre-check=0;11780;US;WA;20/01/1998 0:00;6/03/2017 0:00;50states.com
B0_158;45;11;UTF-8;Apache;None;3042;US;CA;20/10/1998 0:00;4/12/2013 0:00;ask.com
B0_159;26;6;UTF-8;Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;no-store, no-cache, must-revalidate, post-check=0, pre-check=0, public;3548;None;None;6/11/1997 0:00;6/11/2016 0:00;clubchambeaux.com
B0_160;30;7;utf-8;nginx;must-revalidate;None;US;NY;23/03/1995 0:00;3/03/2017 0:00;wn.com
B0_161;22;6;utf-8;openresty/1.11.2.1;max-age=0, private, must-revalidate;None;US;CA;3/07/1999 0:00;7/08/2015 0:00;project86.com
B0_162;201;34;utf-8;Apache/2.2.16 (Debian);private, max-age=0, must-revalidate;8904;US;FL;15/02/1999 0:00;15/07/2015 0:00;berkeleydailyplanet.com
B0_163;33;8;UTF-8;Server;None;None;US;WA;5/01/1996 0:00;5/05/2016 0:00;imdb.com
B0_164;61;12;ISO-8859-1;Apache;max-age=604800;None;US;CA;9/08/1996 0:00;4/04/2017 0:00;pioneerelectronics.com
B0_165;32;7;ISO-8859-1;None;private, no-cache, no-store, must-revalidate;None;US;CA;29/03/1997 0:00;29/11/2016 0:00;facebook.com
B0_166;117;22;UTF-8;nginx;max-age=300, must-revalidate;None;None;None;23/05/1995 0:00;21/05/2015 0:00;competitor.com
B0_168;71;13;UTF-8;GSE;no-cache, no-store, max-age=0, must-revalidate;11988;US;CA;31/07/2000 0:00;29/06/2016 0:00;blogspot.com
B0_169;30;6;ISO-8859-1;None;private, no-cache, no-store, must-revalidate;None;US;CA;29/03/1997 0:00;29/11/2016 0:00;facebook.com
B0_170;29;6;ISO-8859-1;Apache;None;26856;None;None;4/04/2003 0:00;5/04/2017 0:00;vangoghartprints.net
B0_171;24;7;utf-8;nginx;must-revalidate;None;US;NY;23/03/1995 0:00;3/03/2017 0:00;wn.com
B0_173;26;7;utf-8;nginx;must-revalidate;None;US;NY;23/03/1995 0:00;3/03/2017 0:00;wn.com
B0_174;54;9;ISO-8859-1;Apache/2.2.32;max-age=605800;3020;CA;ON;6/03/1998 0:00;30/03/2017 0:00;tradingcharts.com
B0_175;71;12;ISO-8859-1;None;None;34;CA;ON;28/12/1998 0:00;17/12/2016 0:00;super70s.com
B0_176;32;8;UTF-8;Apache;None;None;None;None;2/04/2008 0:00;23/01/2017 0:00;eu33.com
B0_177;55;8;utf-8;nginx/1.10.0;max-age=900;None;None;None;5/11/2003 0:00;6/11/2016 0:00;usedmontreal.com
B0_179;26;6;None;tsa_c;None;0;US;CA;21/01/2000 0:00;8/11/2016 0:00;twitter.com
B0_180;43;8;utf-8;nginx;None;None;GB;Peterborough;8/12/1995 0:00;4/04/2014 0:00;thomascook.com
B0_181;52;11;UTF-8;Apache;private, must-revalidate, max-age=0;8105;CH;ZH;19/02/1997 0:00;15/12/2015 0:00;astro.com
B0_183;35;8;UTF-8;Server;None;None;US;WA;5/01/1996 0:00;5/05/2016 0:00;imdb.com
B0_184;38;8;ISO-8859-1;None;None;1819;US;CA;2/11/2002 0:00;2/02/2017 0:00;linkedin.com
B0_185;95;19;ISO-8859-1;nginx;None;162;None;None;17/10/2008 0:00;24/03/2017 0:00;unrealitymag.com
B0_186;65;12;utf-8;nginx + Phusion Passenger;no-cache;None;CA;ON;27/05/2010 0:00;27/02/2017 0:00;southsidefire.net
B0_187;100;17;utf-8;Apache;None;14060;None;None;27/09/2000 0:00;26/07/2016 0:00;newswire.ca
B0_188;111;22;UTF-8;Apache/2;None;12027;PA;PANAMA;18/12/2006 0:00;25/11/2016 0:00;soccer-blogger.com
B0_190;44;8;ISO-8859-1;nginx;private, no-cache, no-store, must-revalidate;None;US;WA;8/04/1996 0:00;18/11/2016 0:00;whitepages.com
B0_191;64;10;UTF-8;Apache;max-age=0, no-cache, no-store;None;IN;Haryana;22/11/1996 0:00;6/04/2016 0:00;indiatimes.com
B0_192;41;9;UTF-8;mw2231.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;None;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_193;101;20;utf-8;nginx;None;None;US;California;24/09/2006 0:00;26/08/2015 0:00;scribd.com
B0_194;35;9;us-ascii;Microsoft-HTTPAPI/2.0;None;324;US;CA;22/10/1998 0:00;16/03/2017 0:00;scout.com
B0_195;39;8;utf-8;YouTubeFrontEnd;no-cache;None;US;CA;15/02/2005 0:00;14/01/2017 0:00;youtube.com
B0_196;75;16;ISO-8859-1;None;max-age=60;None;US;NJ;23/10/1994 0:00;1/11/2016 0:00;nj.com
B0_197;36;8;ISO-8859-1;nginx;None;None;CN;shandong;8/09/2003 0:00;24/10/2016 0:00;epcity.com
B0_198;67;9;us-ascii;Microsoft-HTTPAPI/2.0;None;324;US;PA;5/06/2003 0:00;26/11/2014 0:00;thefreedictionary.com
B0_199;50;10;utf-8;ATS;private;None;US;CA;22/11/2003 0:00;1/05/2014 0:00;flickr.com
B0_200;36;8;UTF-8;Apache;no-cache, must-revalidate, max-age=0;None;JP;Osaka;13/07/2008 0:00;9/12/2015 0:00;webtonagent.com
B0_201;55;11;UTF-8;mw2110.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;None;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_202;83;11;UTF-8;Apache;no-cache, must-revalidate, max-age=0;None;JP;Fukuoka;15/09/2013 0:00;4/08/2016 0:00;stanleycupplayoffs2008.com
B0_203;48;9;ISO-8859-1;Apache/2.4.7 (Ubuntu);no-store, no-cache, must-revalidate, post-check=0, pre-check=0;13913;CZ;None;13/04/2005 0:00;10/11/2016 0:00;maplandia.com
B0_204;63;11;us-ascii;Microsoft-HTTPAPI/2.0;None;324;None;None;None;None;defense.gov
B0_206;43;7;us-ascii;Microsoft-HTTPAPI/2.0;None;324;None;None;13/11/2002 0:00;13/11/2016 0:00;wantickets.com
B0_207;71;12;UTF-8;Apache;no-cache, must-revalidate, max-age=0;13522;US;CA;18/01/1996 5:00;20/01/2017 1:26;sages.org
B0_209;30;6;ISO-8859-1;Apache;no-store;None;US;CA;22/04/1997 0:00;22/02/2017 0:00;mylife.com
B0_210;83;21;UTF-8;nginx/1.6.2;no-store, no-cache, must-revalidate, post-check=0, pre-check=0;2034;US;CO;2/04/2009 0:00;21/03/2017 0:00;picktorrent.com
B0_211;52;9;UTF-8;nginx/1.8.1;max-age=345600;9662;None;None;18/01/2008 0:00;5/01/2017 0:00;closinglogos.com
B0_212;78;15;iso-8859-1;Apache;None;13;JP;Tottori;14/04/2017 0:00;18/04/2017 0:00;monteregie-travelguide.com
B0_213;73;15;utf-8;Apache;private, s-maxage=0, max-age=0, must-revalidate;44491;CA;ON;9/12/2003 0:00;22/10/2016 0:00;wikia.com
B0_214;101;20;utf-8;Microsoft-IIS/8.5;no-cache;4678;US;DE;26/06/2007 0:00;24/04/2017 0:00;wuzam.com
B0_215;33;8;UTF-8;mw2114.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;None;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_216;145;31;UTF-8;None;None;38361;US;NY;10/08/1995 0:00;5/08/2016 0:00;barnesandnoble.com
B0_218;32;7;UTF-8;Apache;no-cache, must-revalidate, max-age=0;None;US;Illinois;11/02/1997 0:00;10/09/2012 0:00;juggle.com
B0_219;84;14;ISO-8859-1;None;private, no-cache, no-store, must-revalidate;None;US;CA;29/03/1997 0:00;29/11/2016 0:00;facebook.com
B0_220;47;12;UTF-8;mw2228.codfw.wmnet;private, s-maxage=0, max-age=0, must-revalidate;None;US;CA;13/01/2001 0:12;12/12/2015 10:16;wikipedia.org
B0_221;146;24;UTF-8;nginx;None;11833;US;Arizona;13/07/1998 0:00;28/03/2017 0:00;medialifemagazine.com
B0_222;40;8;UTF-8;Apache/2.2.23 (Amazon);None;11590;US;New York;26/09/2005 0:00;23/07/2011 0:00;organizedwisdom.com
