URL;N1;N2;N3;N4;N5;N6;N7;N8;N9;N10;N11;N12;N13;N14;N15
B0_64;28;0;3;4364;0;0;30;22;22879;4498;2547716;1,18E+06;8,64E+05;30;2
B0_65;18;14;3;2201;0;0;22;23;7756;2543;NA;NA;NA;22;4
B0_66;28;4;5;2794;0;0;32;32;30923;3110;2565665;1,25E+06;1,25E+06;32;4
B0_67;26;2;8;2873;0;0;34;37;5727;3453;2571727;1,32E+06;1,44E+06;34;8
B0_68;7;0;2;730;0;0;9;11;1284;870;2573099;3,50E+05;4,28E+05;9;2
B0_69;7;0;2;730;0;0;9;11;1284;870;2573099;3,50E+05;4,28E+05;9;2
B0_70;113;0;3;7746;0;0;117;134;229040;8062;2573752;4,55E+06;5,21E+06;117;4
B0_71;113;0;3;7746;0;0;117;134;229040;8062;2573752;4,55E+06;5,21E+06;117;4
B0_72;65;48;7;6391;0;0;71;77;83389;6819;NA;NA;NA;71;6
B0_73;48;3;6;3418;0;0;52;48;57377;3706;2751849;1,89E+06;1,74E+06;52;4
B0_74;15;0;2;2730;0;0;19;23;9605;3046;NA;NA;NA;19;4
B0_75;9;0;3;871;0;0;11;12;4257;1021;2755203;3,99E+05;4,36E+05;11;2
B0_76;29;7;6;3999;0;0;37;37;17322;4619;2758209;1,34E+06;1,34E+06;37;8
B0_77;45;2;5;3565;0;0;49;49;58127;3903;2765681;1,77E+06;1,77E+06;49;4
B0_78;16;1;5;1910;0;0;24;24;3124;2552;NA;NA;NA;24;8
B0_79;48;0;3;4896;0;0;52;58;73318;5200;2775466;1,87E+06;2,09E+06;52;4
B0_80;26;19;4;3635;0;0;32;30;23404;4125;2777606;1,15E+06;1,08E+06;32;6
B0_81;18;5;6;2032;0;0;24;19;2033;2464;NA;NA;NA;24;6
B0_82;27;1;5;2771;0;0;31;33;36261;3051;NA;NA;NA;31;4
B0_83;47;3;8;3718;0;0;51;47;44519;4064;2863707;1,78E+06;1,64E+06;51;4
B0_84;47;3;8;3718;0;0;51;47;44519;4064;2863707;1,78E+06;1,64E+06;51;4
B0_85;66;56;7;8252;0;0;78;77;61807;9152;2864160;2,72E+06;2,69E+06;78;12
B0_86;10;3;5;949;0;0;14;15;2597;1309;2867079;4,88E+05;5,23E+05;14;4
B0_87;14;0;3;1438;0;0;18;16;4800;1734;2867527;6,28E+05;5,58E+04;18;4
B0_88;15;0;5;1766;0;0;21;18;2293;2196;2868119;7,32E+04;6,28E+05;21;6
B0_89;51;1;10;4049;0;0;55;58;61312;4361;2901435;1,90E+06;2,00E+06;55;4
B0_90;44;0;4;5064;0;0;50;42;35677;5586;2923007;1,71E+06;1,44E+06;50;6
B0_91;16;3;8;1277;0;0;20;19;2663;1559;NA;NA;NA;20;4
B0_92;22;15;2;2432;0;0;26;32;27169;2716;NA;NA;NA;26;4
B0_93;21;12;3;3104;0;0;29;23;8857;3696;2931723;9,89E+05;7,85E+05;29;8
B0_94;5;2;2;330;0;0;9;10;1016;678;NA;NA;NA;9;4
B0_95;21;7;2;2681;0;0;27;26;21979;3159;2934138;9,20E+05;8,86E+05;27;6
B0_96;26;19;3;2632;0;0;30;36;27404;2916;NA;NA;NA;30;4
B0_97;14;9;2;2200;0;0;20;18;6009;2682;2935793;6,81E+05;6,13E+05;20;6
B0_98;10;2;3;1256;0;0;14;14;1546;1576;2937130;4,77E+05;4,77E+05;14;4
B0_99;23;5;11;2106;0;0;27;31;6415;2410;3010405;8,97E+05;1,03E+06;27;4
B0_100;18;0;2;1676;0;0;22;22;21002;1968;NA;NA;NA;22;4
B0_101;75;8;16;7388;0;0;79;76;65108;7734;3087070;2,56E+06;2,46E+06;79;4
B0_102;16;3;11;1696;0;0;18;20;13422;1844;3094172;5,82E+05;6,46E+05;18;2
B0_103;46;37;6;4871;0;0;50;56;81223;5159;3107292;1,61E+06;1,80E+06;50;4
B0_104;51;11;7;4601;0;0;57;55;45279;5103;3111614;1,83E+05;1,77E+06;57;6
B0_105;4;0;3;264;0;0;8;10;996;580;NA;NA;NA;8;4
B0_106;8;0;2;1089;0;0;14;13;1977;1601;3119196;4,49E+05;4,17E+05;14;6
B0_107;8;0;2;1089;0;0;14;13;1977;1601;3119196;4,49E+05;4,17E+05;14;6
B0_108;84;54;5;10490;0;0;96;106;106925;11482;3119399;3,08E+06;3,40E+05;96;12
B0_109;18;0;1;1458;0;0;20;20;19623;1616;3152328;6,34E+05;6,34E+05;20;2
B0_110;33;27;2;5235;0;0;41;40;14571;5835;3152769;1,30E+06;1,27E+06;41;8
B0_111;6;3;3;650;0;0;12;14;1063;1110;3156206;3,80E+05;4,44E+05;12;6
B0_112;63;59;2;8062;0;0;75;76;82775;8950;3156206;2,38E+06;2,41E+06;75;12
B0_113;31;22;3;3812;0;0;39;37;18784;4380;NA;NA;NA;39;8
B0_114;39;3;4;3238;0;0;43;44;26870;3550;3165957;1,36E+06;1,39E+06;43;4
B0_115;19;6;10;1483;0;0;23;21;2073;1775;3174218;7,25E+05;6,62E+05;23;4
B0_116;8;0;2;1016;0;0;12;14;1612;1324;NA;NA;NA;12;4
B0_117;9;0;9;550;0;0;13;17;1320;854;NA;NA;NA;13;4
B0_118;11;6;1;2088;0;0;15;15;7459;2388;3185723;4,71E+04;4,71E+04;15;4
B0_119;3;1;2;238;0;0;5;7;654;394;NA;NA;NA;5;2
B0_120;16;0;1;1151;0;0;18;19;24455;1305;NA;NA;NA;18;2
B0_121;3;0;2;202;0;0;5;6;487;346;NA;NA;NA;5;2
B0_122;26;22;1;4523;0;0;32;34;26400;4979;3192830;1,00E+06;1,06E+06;32;6
B0_123;46;42;2;6883;0;0;54;54;38056;7491;3200111;1,69E+06;1,69E+06;54;8
B0_124;29;14;4;3416;0;0;35;35;17574;3858;3205334;1,09E+06;1,09E+06;35;6
B0_125;30;26;1;3521;0;0;36;37;33021;3947;NA;NA;NA;36;6
B0_126;65;3;5;6286;0;0;69;75;90508;6596;3211991;2,15E+06;2,34E+04;69;4
B0_127;19;0;3;1851;0;0;23;23;15551;2143;3249348;7,08E+05;7,08E+05;23;4
B0_128;17;5;8;1314;0;0;19;26;1881;1452;3258932;5,83E+05;7,98E+05;19;2
B0_129;41;0;5;3333;0;0;45;43;42229;3715;3397914;1,32E+06;1,27E+06;45;4
B0_130;9;0;4;916;0;0;13;15;2074;1216;3398412;3,83E+05;4,41E+05;13;4
B0_131;33;27;2;6235;0;0;41;40;16697;6835;3398818;1,21E+06;1,18E+06;41;8
B0_132;27;12;5;3149;0;0;33;34;37964;3647;3401576;9,70E+05;1,00E+06;33;6
B0_133;8;2;2;805;0;0;10;10;1196;953;3402958;2,94E+04;2,94E+04;10;2
B0_134;11;1;3;1335;0;0;17;17;2109;1835;3403680;4,99E+04;4,99E+04;17;6
B0_135;13;3;3;1984;0;0;19;18;2183;2484;3403680;5,58E+05;5,29E+05;19;6
B0_136;9;0;1;1292;0;0;13;12;13298;1632;NA;NA;NA;13;4
B0_137;14;0;1;1205;0;0;16;18;16593;1383;3405550;4,70E+05;5,29E+05;16;2
B0_138;61;52;4;7271;0;0;71;68;60586;8017;3413435;2,08E+06;1,99E+06;71;10
B0_139;41;28;6;5321;0;0;49;45;24126;5935;NA;NA;NA;49;8
B0_140;65;53;14;8568;0;0;77;70;26049;9452;3485685;2,21E+06;2,01E+05;77;12
B0_141;47;13;6;6078;0;0;53;52;40968;6520;3487871;1,52E+06;1,49E+06;53;6
B0_142;50;43;12;7282;0;0;60;57;24220;8042;3499588;1,71E+06;1,63E+06;60;10
B0_143;95;89;9;7556;0;0;99;157;244958;7848;3508879;2,82E+06;4,47E+05;99;4
B0_144;22;15;8;1527;0;0;24;25;1928;1699;NA;NA;NA;24;2
B0_145;7;0;2;985;0;0;13;12;1496;1433;NA;NA;NA;13;6
B0_146;7;0;2;985;0;0;13;12;1496;1433;NA;NA;NA;13;6
B0_147;8;0;1;432;0;0;8;2;124;432;NA;NA;NA;8;0
B0_148;20;7;9;1620;0;0;22;23;9227;1804;3720054;5,91E+05;6,18E+05;22;2
B0_149;1;0;1;66;0;0;7;7;486;510;NA;NA;NA;7;6
B0_150;7;1;2;769;0;0;9;10;1298;909;3722471;2,42E+05;2,69E+05;9;2
B0_151;44;34;6;6221;0;0;54;45;36834;6963;3722902;1,45E+06;1,21E+06;54;10
B0_152;4;0;2;264;0;0;4;2;124;264;NA;NA;NA;4;0
B0_153;32;28;3;4948;0;0;40;35;19634;5516;3887090;1,03E+06;9,00E+04;40;8
B0_154;14;5;4;1564;0;0;16;17;3465;1700;NA;NA;NA;16;2
B0_155;8;0;2;1059;0;0;12;11;1506;1361;3888704;3,09E+05;2,83E+05;12;4
B0_156;22;2;7;2062;0;0;30;26;8161;2742;3940025;7,61E+05;6,60E+05;30;8
B0_157;20;1;5;1930;0;0;28;24;8029;2610;3940025;7,11E+05;6,09E+05;28;8
B0_158;14;0;7;1201;0;0;18;17;4922;1495;3946237;4,56E+05;4,31E+05;18;4
B0_159;13;0;1;1378;0;0;19;19;6226;1856;3946735;4,81E+05;4,81E+05;19;6
B0_160;14;9;3;1918;0;0;18;17;5546;2182;3949953;4,56E+05;4,30E+05;18;4
B0_161;39;29;6;3833;0;0;43;42;22495;4125;3998153;1,08E+06;1,05E+06;43;4
B0_162;83;2;6;6631;0;0;87;89;132181;6945;4002426;2,17E+06;2,22E+06;87;4
B0_163;52;7;8;3438;0;0;56;51;46498;3718;NA;NA;NA;56;4
B0_164;22;5;10;1673;0;0;24;22;2525;1837;4229770;5,67E+05;5,20E+05;24;2
B0_165;49;42;5;7613;0;0;61;52;24774;8497;4230313;1,44E+06;1,23E+06;61;12
B0_166;21;6;5;2278;0;0;27;25;2847;2758;4231812;6,38E+05;5,91E+05;27;6
B0_167;19;3;10;1553;0;0;23;18;1450;1887;4264500;5,39E+05;4,22E+05;23;4
B0_168;73;3;5;7802;0;0;79;82;105565;8302;4264500;1,85E+06;1,92E+04;79;6
B0_169;62;52;12;8974;0;0;76;69;30726;10006;4269715;1,78E+06;1,62E+06;76;14
B0_170;26;6;5;2519;0;0;30;30;22379;2851;4271106;7,02E+05;7,02E+05;30;4
B0_171;14;6;6;1907;0;0;18;18;5601;2171;4274945;4,21E+03;4,21E+03;18;4
B0_172;31;22;5;2328;0;0;37;13;1278;2744;4348078;8,51E+05;2,99E+05;37;6
B0_173;26;19;5;2727;0;0;30;19;5765;2991;4348078;6,90E+05;4,37E+05;30;4
B0_174;34;7;6;2881;0;0;38;33;39646;3219;4371179;8,69E+05;7,55E+05;38;4
B0_175;49;0;7;3878;0;0;53;51;55460;4174;4449075;1,19E+06;1,15E+06;53;4
B0_176;24;0;4;2176;0;0;28;29;17335;2456;NA;NA;NA;28;4
B0_177;24;3;9;1715;0;0;26;31;22292;1867;NA;NA;NA;26;2
B0_178;8;3;6;544;0;0;10;12;870;696;NA;NA;NA;10;2
B0_179;43;39;3;6325;0;0;53;50;32025;7063;4495156;1,18E+06;1,11E+06;53;10
B0_180;15;6;5;1528;0;0;21;21;3023;1988;4521564;4,64E+05;4,64E+05;21;6
B0_181;13;0;3;1428;0;0;17;11;1504;1712;4672893;3,64E+05;2,35E+05;17;4
B0_182;3;0;2;214;0;0;5;6;472;356;NA;NA;NA;5;2
B0_183;21;1;4;2435;0;0;25;25;39924;2715;NA;NA;NA;25;4
B0_184;39;25;11;5509;0;0;47;45;25776;6115;4742971;9,91E+05;9,49E+04;47;8
B0_185;12;2;3;1316;0;0;14;22;16475;1468;NA;NA;NA;14;2
B0_186;35;9;12;2820;0;0;43;26;3034;3428;4896743;8,78E+05;5,31E+05;43;8
B0_187;35;9;12;2820;0;0;43;28;3254;3428;4896743;8,78E+05;5,72E+05;43;8
B0_188;13;1;7;1524;0;0;17;12;1603;1844;4897587;3,47E+05;2,45E+05;17;4
B0_189;14;3;10;1152;0;0;22;23;2541;1756;4946272;4,45E+05;4,65E+05;22;8
B0_190;19;0;2;1809;0;0;23;23;26805;2125;4946272;4,65E+05;4,65E+05;23;4
B0_191;15;2;5;1238;0;0;17;9;760;1430;NA;NA;NA;17;2
B0_192;0;0;0;0;0;0;0;2;124;0;NA;NA;NA;0;0
B0_193;45;40;4;4721;0;0;49;74;82395;5009;5150316;9,51E+05;1,44E+06;49;4
B0_194;49;10;6;2961;0;0;53;61;38255;3261;NA;NA;NA;53;4
B0_195;64;48;8;6413;0;0;72;68;58285;7005;5206231;1,38E+06;1,31E+06;72;8
B0_196;33;3;8;3647;0;0;41;39;32399;4247;5211109;7,87E+05;7,48E+05;41;8
B0_197;18;2;8;1432;0;0;20;27;2113;1572;5226360;3,83E+05;5,17E+05;20;2
B0_198;27;9;5;3471;0;0;33;32;23243;3967;5226786;6,31E+05;6,12E+05;33;6
B0_199;64;49;12;7487;0;0;74;84;75625;8219;NA;NA;NA;74;10
B0_200;14;10;6;1096;0;0;16;19;1294;1246;5247785;3,05E+05;3,62E+05;16;2
B0_201;42;36;2;6128;0;0;50;50;41385;6736;5250632;9,52E+05;9,52E+05;50;8
B0_202;11;4;4;1278;0;0;17;16;1874;1750;5256508;3,23E+05;3,04E+05;17;6
B0_203;10;3;3;1224;0;0;16;15;1814;1696;5256508;3,04E+05;2,85E+05;16;6
B0_204;67;32;17;6011;0;0;73;42;28050;6453;5407047;1,35E+06;7,77E+05;73;6
B0_205;15;5;13;974;0;0;21;12;1424;1482;NA;NA;NA;21;6
B0_206;39;9;5;4044;0;0;43;39;44173;4420;5408272;7,95E+05;7,21E+05;43;4
B0_207;30;20;10;3317;0;0;36;35;8700;3747;NA;NA;NA;36;6
B0_208;4;2;2;256;0;0;6;9;748;422;NA;NA;NA;6;2
B0_209;22;17;2;3914;0;0;28;27;9833;4350;NA;NA;NA;28;6
B0_210;22;8;7;1628;0;0;26;25;14894;1944;5457369;4,76E+05;4,58E+05;26;4
B0_211;22;8;7;1628;0;0;26;25;14894;1944;5457369;4,76E+05;4,58E+05;26;4
B0_212;8;0;3;528;0;0;8;2;124;528;NA;NA;NA;8;0
B0_213;208;0;1;14530;0;0;210;278;466055;14688;5611433;3,74E+06;4,95E+06;210;2
B0_214;32;9;6;3327;0;0;38;32;10505;3769;5637810;6,74E+05;5,68E+05;38;6
B0_215;32;11;6;3694;0;0;40;32;11543;4286;5637810;7,09E+05;5,68E+05;40;8
B0_216;10;3;3;1354;0;0;18;19;2517;2010;5644341;3,19E+05;3,37E+05;18;8
B0_217;10;3;3;1354;0;0;18;19;2517;2010;5644341;3,19E+05;3,37E+05;18;8
B0_218;94;0;4;11902;0;0;102;121;173484;12492;5644438;1,81E+06;2,14E+06;102;8
B0_219;67;17;5;13331;0;0;73;70;67914;13771;5645304;1,29E+06;1,24E+06;73;6
B0_220;29;20;8;4167;0;0;33;33;3181;4499;NA;NA;NA;33;4
B0_221;29;20;8;4167;0;0;33;33;3181;4499;NA;NA;NA;33;4
B0_222;156;17;12;23383;0;0;162;206;295213;23877;5674404;2,85E+06;3,63E+06;162;6
B0_223;25;4;8;2313;0;0;29;29;9531;2621;5680106;5,11E+04;5,11E+04;29;4
B0_224;43;35;3;5029;0;0;49;54;44203;5469;5680539;8,63E+05;9,51E+05;49;6
B0_225;57;51;3;8171;0;0;69;59;26659;9059;5681062;1,21E+06;1,04E+06;69;12
B0_226;40;6;5;4203;0;0;42;42;47931;4365;5683455;7,39E+05;7,39E+05;42;2
B0_227;20;6;5;2638;0;0;28;25;6137;3208;5835342;4,80E+05;4,28E+04;28;8
B0_228;20;6;5;2638;0;0;28;25;6137;3208;5835342;4,80E+05;4,28E+04;28;8
B0_229;21;7;5;2830;0;0;29;25;6137;3400;5835342;4,97E+05;4,28E+04;29;8
B0_230;1194;12;8;99843;0;0;1198;1284;2060012;100151;NA;NA;NA;1198;4
B0_231;61;46;14;6679;0;0;69;68;59369;7271;6010839;1,15E+06;1,13E+06;69;8
B0_232;24;10;4;3705;0;0;32;32;11756;4319;6014723;5,32E+04;5,32E+04;32;8
B0_233;25;11;4;3771;0;0;33;32;11756;4385;6014723;5,49E+05;5,32E+04;33;8
B0_234;50;40;5;5894;0;0;58;73;69918;6478;NA;NA;NA;58;8
B0_235;26;10;6;2512;0;0;32;33;7155;2982;6033870;5,30E+05;5,47E+05;32;6
B0_236;33;1;4;2756;0;0;37;37;41938;3032;6037248;6,13E+05;6,13E+05;37;4
B0_237;7;0;2;680;0;0;11;10;1363;1002;NA;NA;NA;11;4
B0_238;20;0;2;1895;0;0;22;24;13792;2055;6038497;3,64E+05;3,97E+05;22;2
B0_239;40;35;2;5987;0;0;48;48;38230;6595;6038960;7,95E+05;7,95E+05;48;8
B0_240;26;18;4;3798;0;0;34;36;18719;4444;6044425;5,63E+05;5,96E+05;34;8
B0_241;19;14;6;1980;0;0;23;25;5737;2276;NA;NA;NA;23;4
B0_242;83;2;3;6008;0;0;87;107;147266;6312;6060568;1,44E+04;1,77E+06;87;4
B0_243;44;17;11;5171;0;0;52;46;36825;5811;NA;NA;NA;52;8
B0_244;39;2;13;3042;0;0;45;26;5914;3520;6231020;7,22E+05;4,17E+05;45;6
B0_245;7;4;4;414;0;0;11;12;1130;706;NA;NA;NA;11;4
B0_246;8;0;3;786;0;0;12;9;968;1106;6234715;1,92E+05;1,44E+04;12;4
B0_247;58;39;7;5998;0;0;64;48;43787;6438;6387104;1,00E+06;7,52E+05;64;6
B0_248;23;14;7;2472;0;0;27;19;6776;2796;6387825;4,23E+05;2,97E+05;27;4
B0_249;26;18;7;3928;0;0;32;27;10186;4368;6389013;5,01E+05;4,23E+05;32;6
B0_250;63;58;6;8280;0;0;75;65;23559;9168;6412501;1,17E+06;1,01E+05;75;12
B0_251;24;6;4;1784;0;0;26;27;23886;1950;6416276;4,05E+04;4,21E+04;26;2
B0_252;14;1;3;2133;0;0;20;18;3258;2609;6417291;3,12E+05;2,80E+05;20;6
B0_253;10;2;7;927;0;0;14;20;2926;1241;6426229;2,18E+05;3,11E+05;14;4
B0_254;8;1;4;816;0;0;10;13;1541;958;6427162;1,56E+05;2,02E+05;10;2
B0_255;43;0;2;3252;0;0;47;47;60076;3564;NA;NA;NA;47;4
B0_256;43;0;2;3252;0;0;47;47;60076;3564;NA;NA;NA;47;4
B0_257;24;0;4;2314;0;0;28;38;43123;2616;6428782;4,36E+05;5,91E+05;28;4
B0_258;46;12;11;3783;0;0;50;18;5605;4047;6579480;7,60E+05;2,74E+05;50;4
B0_259;34;9;6;2861;0;0;38;26;15260;3229;6648440;5,72E+05;3,91E+05;38;4
B0_260;33;11;8;3523;0;0;39;33;30933;4041;6649052;5,87E+05;4,96E+05;39;6
B0_261;60;4;5;4466;0;0;62;63;95122;4602;6650229;9,32E+05;9,47E+05;62;2
B0_262;4;0;2;532;0;0;8;8;598;838;NA;NA;NA;8;4
B0_263;5;0;1;593;0;0;9;9;955;929;6651392;1,35E+05;1,35E+05;9;4
B0_264;8;0;3;1100;0;0;12;12;1570;1380;NA;NA;NA;12;4
B0_265;24;0;11;1863;0;0;26;27;15088;2033;6663765;3,90E+05;4,05E+05;26;2
B0_266;4;0;2;541;0;0;6;7;579;689;6664328;9,00E+04;1,05E+05;6;2
B0_267;22;6;8;1651;0;0;24;17;1388;1787;6723588;3,57E+05;2,53E+04;24;2
B0_268;34;0;5;4084;0;0;42;37;36205;4684;6723999;6,25E+05;5,50E+05;42;8
B0_269;13;1;3;1763;0;0;19;19;2308;2233;6756743;2,81E+05;2,81E+05;19;6
B0_270;38;13;10;4509;0;0;48;52;35953;5267;6763447;7,10E+05;7,69E+05;48;10
B0_271;84;13;6;7403;0;0;86;71;117282;7549;6914399;1,24E+06;1,03E+06;86;2
B0_272;7;1;3;743;0;0;11;13;1520;1033;NA;NA;NA;11;4
B0_273;23;6;10;2679;0;0;29;26;7080;3121;6923894;4,19E+05;3,76E+05;29;6
B0_274;9;3;6;610;0;0;11;10;799;774;NA;NA;NA;11;2
B0_275;34;27;3;4891;0;0;42;37;37001;5499;7120933;5,90E+05;5,20E+05;42;8
B0_276;11;5;4;1040;0;0;15;19;2206;1374;7127233;2,10E+05;2,67E+05;15;4
B0_277;37;32;2;5805;0;0;45;41;40585;6413;7127617;6,31E+05;5,75E+05;45;8
B0_278;39;35;2;5949;0;0;47;47;32891;6557;7133638;6,59E+05;6,59E+05;47;8
B0_279;23;4;3;2425;0;0;29;36;33598;2881;7139786;4,06E+05;5,04E+05;29;6
B0_280;15;1;7;1552;0;0;21;20;2790;2000;7155794;2,93E+05;2,79E+05;21;6
B0_281;44;31;4;6925;0;0;52;43;17604;7525;7240953;7,18E+05;5,94E+05;52;8
B0_282;19;2;4;2131;0;0;23;23;9471;2441;7244591;3,17E+05;3,17E+05;23;4
B0_283;5;0;3;620;0;0;9;11;887;904;NA;NA;NA;9;4
B0_284;3;0;1;488;0;0;5;6;482;632;NA;NA;NA;5;2
B0_285;4;0;1;519;0;0;8;8;1138;823;7248428;1,10E+05;1,10E+05;8;4
B0_286;19;4;6;2483;0;0;25;23;6470;2955;7254360;3,45E+05;3,17E+05;25;6
B0_287;31;0;6;3312;0;0;35;38;36225;3612;7283758;4,81E+05;5,22E+05;35;4
B0_288;185;0;2;13834;0;0;187;263;488313;13992;7284344;2,57E+06;3,61E+06;187;2
B0_289;157;2;5;11053;0;0;159;176;284743;11211;7307390;2,18E+06;2,41E+06;159;2
B0_290;18;2;6;1706;0;0;22;19;2165;1994;NA;NA;NA;22;4
B0_291;33;0;5;2706;0;0;37;35;41737;2982;7335367;5,04E+05;4,77E+05;37;4
B0_292;127;0;3;8942;0;0;131;144;233106;9242;7336143;1,79E+06;1,96E+06;131;4
B0_293;12;6;7;1017;0;0;18;17;1563;1503;NA;NA;NA;18;6
B0_294;12;6;7;1017;0;0;18;17;1563;1503;NA;NA;NA;18;6
B0_295;46;17;7;5306;0;0;54;42;39325;5906;7493202;7,21E+05;5,61E+05;54;8
B0_296;24;3;6;2752;0;0;30;24;8910;3230;7514719;3,99E+05;3,19E+05;30;6
