URL;URL_LENGTH;NUMBER_SPECIAL_CHARACTERS;CHARSET;SERVER;CACHE_CONTROL;CONTENT_LENGTH;WHOIS_COUNTRY;WHOIS_STATEPROV;WHOIS_REGDATE;UPDATE_DATE;WHITIN_DOMAIN;TCP_CONVERSATION_EXCHANGE;DIST_REMOTE_TCP_PORT;REMOTE_IPS;APP_BYTES;UDP_PACKETS;TCP_URG_PACKETS;SOURCE_APP_PACKETS;REMOTE_APP_PACKETS;SOURCE_APP_BYTES;REMOTE_APP_BYTES;DURATION;AVG_LOCAL_PKT_RATE;AVG_REMOTE_PKT_RATE;APP_PACKETS;DNS_QUERY_TIMES;TIPO
M0_110;35;11;UTF-8;APACHE;NA;NA;CA;ON;14/08/2008 0:00;9/08/2016 0:00;SONNOLI.COM;18;0;2;2102;0;0;20;21;20976;2252;490801;NA;NA;20;2;MALIGNA
M0_111;26;8;UTF-8;NGINX;NO-CACHE, MUST-REVALIDATE, MAX-AGE=0;NA;NA;NA;12/03/2009 21:00;NA;STIRPARTS.RU;12;0;2;1052;0;0;14;14;11935;1204;493520;NA;NA;14;2;MALIGNA
M0_112;30;8;ISO-8859-1;APACHE;NA;177;NA;NA;NA;NA;TIERGESTUETZT.DE;7;0;2;666;0;0;9;9;1094;826;NA;NA;NA;9;2;MALIGNA
M0_113;105;20;ISO-8859-1;APACHE;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;11230;NA;NA;NA;NA;ANGOLOTESTI.IT;22;0;3;2790;0;0;26;26;23294;3104;494764;NA;NA;26;4;MALIGNA
M0_114;48;10;ISO-8859-1;LIGHTTPD;NA;345;FR;NA;24/02/1996 0:00;27/12/2016 0:00;CHEZ.COM;17;5;10;1320;0;0;19;21;1967;1474;NA;NA;NA;19;2;MALIGNA
M0_115;37;9;WINDOWS-1251;APACHE;NA;296;US;LA;18/12/2004 0:00;1/12/2016 0:00;FREESERIALS.WS;2;0;2;128;0;0;4;5;407;276;NA;NA;NA;4;2;MALIGNA
M0_116;41;13;UTF-8;NGINX;NO-CACHE;643;NA;NA;NA;NA;ALLXSCAN.TK;9;0;3;1142;0;0;13;12;1991;1430;508580;NA;NA;13;4;MALIGNA
M0_117;46;11;UTF-8;NGINX;NO-CACHE;649;NA;NA;NA;NA;PORNSTARSS.TK;11;0;3;1274;0;0;15;14;3132;1562;508580;NA;NA;15;4;MALIGNA
M0_118;131;36;ISO-8859-1;CLOUDFLARE-NGINX;PUBLIC, MAX-AGE=86400;NA;US;WA;11/01/1999 0:00;4/04/2017 0:00;CJB.COM;16;5;6;1020;0;0;16;8;508;1020;NA;NA;NA;16;0;MALIGNA
M0_119;51;14;ISO-8859-1;CLOUDFLARE-NGINX;PUBLIC, MAX-AGE=86400;NA;US;WA;11/01/1999 0:00;4/04/2017 0:00;CJB.COM;14;4;6;888;0;0;14;6;376;888;NA;NA;NA;14;0;MALIGNA
M0_120;38;10;ISO-8859-1;APACHE;NA;337;CA;ON;14/09/2009 8:39;6/09/2016 8:26;SUDCOM.ORG;14;4;6;888;0;0;14;5;316;888;NA;NA;NA;14;0;MALIGNA
M0_121;36;10;UTF-8;NGINX;NO-CACHE;655;NA;NA;NA;NA;SCDSFDFGDR12.TK;208;18;9;20074;0;0;228;216;270752;21646;NA;NA;NA;228;20;MALIGNA
M0_122;33;11;UTF-8;NGINX;NO-CACHE;646;NA;NA;NA;NA;SCANER-DO.TK;13;1;5;1497;0;0;17;14;2116;1787;551291;NA;NA;17;4;MALIGNA
M0_123;35;11;UTF-8;NGINX;NO-CACHE;652;NA;NA;NA;NA;SCANER-FILE.TK;15;1;5;1635;0;0;21;17;2640;2073;566538;NA;NA;21;6;MALIGNA
M0_124;35;11;UTF-8;NGINX;NO-CACHE;652;NA;NA;NA;NA;SCANER-FIGY.TK;21;1;5;2367;0;0;29;26;3801;2957;582752;NA;NA;29;8;MALIGNA
M0_125;33;9;UTF-8;NGINX;NO-CACHE;637;NA;NA;NA;NA;NS2NS1.TK;23;1;5;2851;0;0;31;26;3814;3431;597978;NA;NA;31;8;MALIGNA
M0_126;40;13;UTF-8;NGINX;NO-CACHE;637;NA;NA;NA;NA;NS2NS1.TK;12;1;5;1340;0;0;16;12;964;1622;625035;NA;NA;16;4;MALIGNA
M0_127;35;9;UTF-8;NGINX;NO-CACHE;646;NA;NA;NA;NA;EXSEXYTOP.TK;12;1;5;1340;0;0;16;12;964;1622;625035;NA;NA;16;4;MALIGNA
M0_128;42;13;UTF-8;NGINX;NO-CACHE;646;NA;NA;NA;NA;EXSEXYTOP.TK;7;1;5;466;0;0;11;10;822;760;NA;NA;NA;11;4;MALIGNA
M0_129;36;11;UTF-8;NGINX;NO-CACHE;655;NA;NA;NA;NA;SCANER-SBOOM.TK;7;1;5;466;0;0;11;10;822;760;NA;NA;NA;11;4;MALIGNA
M0_130;34;11;UTF-8;NGINX;NO-CACHE;655;NA;NA;NA;NA;SCANER-SBITE.TK;27;5;8;2721;0;0;35;27;3896;3313;687127;NA;NA;35;8;MALIGNA
M0_131;36;11;UTF-8;NGINX;NO-CACHE;655;NA;NA;NA;NA;SCANER-TFEED.TK;17;1;7;1770;0;0;23;17;2579;2210;702417;NA;NA;23;6;MALIGNA
M0_132;43;13;UTF-8;NGINX;NO-CACHE;646;NA;NA;NA;NA;LINKFORME.TK;11;1;4;1266;0;0;15;12;966;1554;717756;NA;NA;15;4;MALIGNA
M0_133;36;9;UTF-8;NGINX;NO-CACHE;646;NA;NA;NA;NA;LINKFORME.TK;11;1;4;1266;0;0;15;12;966;1554;717756;NA;NA;15;4;MALIGNA
M0_134;36;11;UTF-8;NGINX;NO-CACHE;655;NA;NA;NA;NA;SCANER-TGAME.TK;21;1;5;2359;0;0;29;23;3542;2951;743636;NA;NA;29;8;MALIGNA
M0_135;35;11;UTF-8;NGINX;NO-CACHE;652;NA;NA;NA;NA;SCANER-SDEE.TK;19;1;5;2223;0;0;25;20;2868;2661;759305;NA;NA;25;6;MALIGNA
M0_136;32;11;UTF-8;NGINX;NO-CACHE;643;NA;NA;NA;NA;WEB-FILL.TK;22;1;5;2783;0;0;30;26;3824;3367;774472;NA;NA;30;8;MALIGNA
M0_137;35;11;UTF-8;NGINX;NO-CACHE;652;NA;NA;NA;NA;INTERNET-BB.TK;18;1;5;2157;0;0;24;22;2996;2595;789627;NA;NA;24;6;MALIGNA
M0_138;33;9;UTF-8;NGINX;NO-CACHE;640;NA;NA;NA;NA;TEXTSEX.TK;18;1;5;2147;0;0;24;20;2848;2577;804978;NA;NA;24;6;MALIGNA
M0_139;40;13;UTF-8;NGINX;NO-CACHE;640;NA;NA;NA;NA;TEXTSEX.TK;12;1;4;1325;0;0;18;14;2091;1749;820462;NA;NA;18;6;MALIGNA
M0_140;32;9;UTF-8;NGINX;NO-CACHE;637;NA;NA;NA;NA;MBRDOT.TK;14;1;4;1457;0;0;20;16;3229;1881;820462;NA;NA;20;6;MALIGNA
M0_141;39;13;UTF-8;NGINX;NO-CACHE;637;NA;NA;NA;NA;MBRDOT.TK;4;0;4;264;0;0;4;6;388;264;NA;NA;NA;4;0;MALIGNA
M0_142;33;9;UTF-8;NGINX;NO-CACHE;643;NA;NA;NA;NA;SEXYSTER.TK;4;0;4;264;0;0;4;6;388;264;NA;NA;NA;4;0;MALIGNA
M0_143;40;13;UTF-8;NGINX;NO-CACHE;643;NA;NA;NA;NA;SEXYSTER.TK;11;1;4;1266;0;0;15;12;960;1548;846877;NA;NA;15;4;MALIGNA
M0_144;39;11;UTF-8;NGINX;NO-CACHE;640;NA;NA;NA;NA;FKHFGFG.TK;11;1;4;1266;0;0;15;12;960;1548;846877;NA;NA;15;4;MALIGNA
M0_145;39;11;UTF-8;NGINX;NO-CACHE;640;NA;NA;NA;NA;FKHFGFG.TK;26;5;8;2329;0;0;32;25;4850;2759;872081;NA;NA;32;6;MALIGNA
M0_146;48;11;UTF-8;NGINX;NO-CACHE;640;NA;NA;NA;NA;FKHFGFG.TK;23;1;4;2912;0;0;31;25;3753;3494;887228;NA;NA;31;8;MALIGNA
M0_147;50;11;UTF-8;NGINX;NO-CACHE;640;NA;NA;NA;NA;FKHFGFG.TK;20;1;4;2330;0;0;28;24;3609;2912;902376;NA;NA;28;8;MALIGNA
M0_148;35;11;UTF-8;NGINX;NO-CACHE;652;NA;NA;NA;NA;NEW-ADDRESS.TK;19;1;5;2223;0;0;25;22;2996;2661;917466;NA;NA;25;6;MALIGNA
M0_149;49;12;ISO-8859-1;PWS;MAX-AGE=300;528;KR;NA;28/08/2003 0:00;10/05/2016 0:00;GAMEANGEL.COM;17;1;6;1661;0;0;23;19;2944;2123;932899;NA;NA;23;6;MALIGNA
M0_15;26;8;UTF-8;NGINX;NA;NA;NA;NA;9/03/2000 17:50;NA;ANTALYA.RU;9;1;2;878;0;0;11;12;2242;1018;4294935825;NA;NA;11;2;MALIGNA
M0_150;39;11;UTF-8;NGINX;NO-CACHE;661;NA;NA;NA;NA;URL-CAMERALIST.TK;20;0;6;2328;0;0;26;26;3285;2772;934134;NA;NA;26;6;MALIGNA
M0_151;38;11;UTF-8;NGINX;NO-CACHE;661;NA;NA;NA;NA;NEW-SOFTDRIVER.TK;22;1;5;2813;0;0;30;27;3916;3409;949127;NA;NA;30;8;MALIGNA
M0_152;35;11;UTF-8;NGINX;NO-CACHE;652;NA;NA;NA;NA;JOB-COMPUSE.TK;23;1;5;2864;0;0;31;25;3773;3454;964185;NA;NA;31;8;MALIGNA
M0_153;43;11;UTF-8;NGINX;NO-CACHE;673;NA;NA;NA;NA;HOSTING-CONTROLID1.TK;18;1;5;2188;0;0;24;22;3031;2640;979464;NA;NA;24;6;MALIGNA
M0_154;42;11;UTF-8;NGINX;NO-CACHE;673;NA;NA;NA;NA;HOSTING-CONTROLID1.TK;18;1;4;2185;0;0;24;21;2969;2637;994460;NA;NA;24;6;MALIGNA
M0_155;42;11;UTF-8;NGINX;NO-CACHE;673;NA;NA;NA;NA;HOSTING-CONTROLPIN.TK;18;1;5;2185;0;0;24;21;2969;2637;1010229;NA;NA;24;6;MALIGNA
M0_156;41;11;UTF-8;NGINX;NO-CACHE;670;NA;NA;NA;NA;HOSTING-CONTROLPR.TK;15;1;5;1653;0;0;21;19;2798;2103;1025859;NA;NA;21;6;MALIGNA
M0_157;36;11;UTF-8;NGINX;NO-CACHE;655;NA;NA;NA;NA;IMAGE-CIRCUL.TK;19;1;5;2227;0;0;27;23;3612;2819;1041657;NA;NA;27;8;MALIGNA
M0_158;40;11;UTF-8;NGINX;NO-CACHE;667;NA;NA;NA;NA;JOB-COMPANYBUILD.TK;21;1;5;2383;0;0;29;25;3786;2983;1056821;NA;NA;29;8;MALIGNA
M0_159;34;11;UTF-8;NGINX;NO-CACHE;649;NA;NA;NA;NA;LAB-CNTEST.TK;15;1;5;1632;0;0;21;18;2661;2068;1072136;NA;NA;21;6;MALIGNA
M0_16;37;9;ISO-8859-1;NGINX;NA;162;CN;BEIJINGSHI;9/02/2009 0:00;27/04/2017 0:00;IMG001.COM;1;0;1;66;0;0;3;4;404;206;NA;NA;NA;3;2;MALIGNA
M0_160;40;11;UTF-8;NGINX;NO-CACHE;667;NA;NA;NA;NA;INFOWEB-COOLINFO.TK;19;1;5;2243;0;0;25;22;3021;2691;1087542;NA;NA;25;6;MALIGNA
M0_161;52;12;UTF-8;MARRAKESH 1.12.2;MAX-AGE=30, PRIVATE, PROXY-REVALIDATE;13650;BR;NA;NA;NA;SITES.UOL.COM.BR;16;1;5;1609;0;0;22;20;2655;2119;1102744;NA;NA;22;6;MALIGNA
M0_164;49;12;ISO-8859-1;NGINX;NA;2211;UA;WIDESTEP@MAIL.RU;9/03/2004 0:00;4/01/2016 0:00;WIDESTEP.COM;12;8;1;2037;0;0;16;16;6187;2355;1114159;NA;NA;16;4;MALIGNA
M0_165;35;8;ISO-8859-1;CLOUDFLARE-NGINX;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;NA;RU;KRASNOYARSK;22/08/2010 0:00;28/04/2017 0:00;SEOHOLDING.COM;15;1;2;1850;0;0;21;23;2970;2302;1118192;NA;NA;21;6;MALIGNA
M0_166;34;9;ISO-8859-1;CLOUDFLARE-NGINX;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;NA;RU;KRASNOYARSK;30/03/2011 0:00;28/04/2017 0:00;SEONETWIZARD.COM;26;0;3;3569;0;0;32;31;10750;4037;1120681;NA;NA;32;6;MALIGNA
M0_167;74;11;ISO-8859-1;CLOUDFLARE-NGINX;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;NA;RU;KRASNOYARSK;22/08/2010 0:00;28/04/2017 0:00;SEOHOLDING.COM;11;0;3;1260;0;0;19;17;2399;1850;1121673;NA;NA;19;8;MALIGNA
M0_168;94;20;UTF-8;APACHE;NA;58;US;MASSACHUSETTS;2/01/2016 0:00;13/02/2017 0:00;CRACKZONE.NET;11;0;3;1260;0;0;19;17;2399;1850;1121673;NA;NA;19;8;MALIGNA
M0_169;36;8;ISO-8859-1;CLOUDFLARE-NGINX;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;NA;RU;KRASNOYARSK;22/08/2010 0:00;28/04/2017 0:00;SEOHOLDING.COM;6;0;4;372;0;0;8;10;703;520;NA;NA;NA;8;2;MALIGNA
M0_171;26;7;ISO-8859-1;NGINX;NA;4166;US;TEXAS;30/05/2008 0:00;30/05/2016 0:00;AINTDOINSHIT.COM;24;0;3;2508;0;0;30;30;21098;2992;1137850;NA;NA;30;6;MALIGNA
M0_172;97;15;UTF-8;APACHE;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;8755;UY;MONTEVIDEO;8/06/2009 3:48;30/05/2016 18:18;PUENTEAEREO.INFO;3;0;2;198;0;0;3;6;384;198;NA;NA;NA;3;0;MALIGNA
M0_174;97;15;UTF-8;APACHE;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;8762;UY;MONTEVIDEO;8/06/2009 3:48;30/05/2016 18:18;PUENTEAEREO.INFO;3;0;2;198;0;0;3;6;384;198;NA;NA;NA;3;0;MALIGNA
M0_175;24;8;ISO-8859-1;NGINX;NA;6173;NA;NA;NA;NA;X10.MX;2;0;1;132;0;0;2;5;318;132;NA;NA;NA;2;0;MALIGNA
M0_176;37;11;ISO-8859-1;APACHE;NA;NA;NA;NA;4/11/1998 0:00;15/11/2016 0:00;RR.NU;44;2;10;5009;0;0;50;50;40316;5511;1142408;NA;NA;50;6;MALIGNA
M0_177;67;14;UTF-8;NGINX;NA;NA;US;AZ;12/10/1997 4:00;5/04/2017 5:17;USA.CC;12;1;5;1366;0;0;18;17;2000;1850;1145435;NA;NA;18;6;MALIGNA
M0_178;69;13;UTF-8;APACHE;NA;194;US;PA;16/11/2016 0:00;16/11/2016 0:00;COOLERPILLOW.COM;10;0;4;903;0;0;14;12;1489;1205;NA;NA;NA;14;4;MALIGNA
M0_179;37;10;ISO-8859-1;NGINX;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;NA;CN;LIAONINGSHENG;4/11/2016 0:00;8/11/2016 0:00;LYZGS.COM;12;0;2;1961;0;0;16;14;2991;2245;1154896;NA;NA;16;4;MALIGNA
M0_180;34;9;ISO-8859-1;APACHE;NA;214;NA;NA;NA;NA;MLPOINT.PT;9;0;4;850;0;0;11;14;1382;990;1158306;NA;NA;11;2;MALIGNA
M0_21;28;9;UTF-8;APACHE;NA;NA;RU;MOSCOW;24/10/2007 0:00;22/10/2016 0:00;TRAFF1.COM;5;0;1;592;0;0;7;9;1062;732;4294940333;NA;NA;7;2;MALIGNA
M0_39;40;10;UTF-8;APACHE;PUBLIC, MAX-AGE=300;3016;NA;NA;NA;NA;ALICE.IT;11;0;2;1285;0;0;17;18;2462;1741;4294946623;NA;NA;17;6;MALIGNA
M0_40;42;10;UTF-8;NGINX;NO-CACHE, PRE-CHECK=0, POST-CHECK=0;NA;NA;NA;7/04/2002 20:00;NA;PROPAN.RU;15;0;3;2124;0;0;17;20;12884;2270;4294948178;NA;NA;17;2;MALIGNA
M0_41;54;11;ISO-8859-1;APACHE;NA;228;US;ARIZONA;16/02/2005 0:00;24/02/2016 0:00;WEBCASHMAKER.COM;5;0;2;582;0;0;9;9;1097;882;NA;NA;NA;9;4;MALIGNA
M0_42;38;9;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;15;0;2;2342;0;0;21;15;7249;2806;4294951689;NA;NA;21;6;MALIGNA
M0_43;38;9;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;19;1;3;2594;0;0;25;25;7997;3058;4294953475;NA;NA;25;6;MALIGNA
M0_44;39;9;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;20;0;2;2976;0;0;26;23;7783;3440;4294955245;NA;NA;26;6;MALIGNA
M0_45;40;9;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;19;0;2;2610;0;0;25;22;7715;3074;4294957029;NA;NA;25;6;MALIGNA
M0_46;48;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;22;0;2;3448;0;0;28;24;9819;3912;4294958837;NA;NA;28;6;MALIGNA
M0_47;42;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;24;0;2;4035;0;0;30;25;12416;4499;4294960477;NA;NA;30;6;MALIGNA
M0_48;42;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;25;0;2;4101;0;0;31;28;12614;4565;4294962115;NA;NA;31;6;MALIGNA
M0_49;44;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;22;0;2;3444;0;0;28;24;9819;3908;4294963675;NA;NA;28;6;MALIGNA
M0_50;42;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;23;0;2;3969;0;0;29;24;12354;4433;4294965376;NA;NA;29;6;MALIGNA
M0_51;48;11;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;24;0;2;4041;0;0;30;25;12420;4505;4294966953;NA;NA;30;6;MALIGNA
M0_52;41;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;24;0;2;4034;0;0;30;26;12486;4498;1263;0.0237529691211;0.0205859065717;30;6;MALIGNA
M0_53;42;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;25;0;2;4101;0;0;31;28;12614;4565;2896;0.0107044198895;0.00966850828729;31;6;MALIGNA
M0_54;43;10;ISO-8859-1;APACHE;NA;2516;US;UTAH;24/05/2000 0:00;25/05/2016 0:00;STORMPAGES.COM;23;0;2;3970;0;0;29;27;12548;4434;4489;0.00646023613277;0.00601470260637;29;6;MALIGNA
M0_55;49;13;UTF-8;NXFPS;NO-STORE, NO-CACHE;NA;KR;NA;3/01/2002 0:00;12/01/2015 0:00;URIYURI.COM;18;0;3;1643;0;0;22;25;14342;1935;NA;NA;NA;22;4;MALIGNA
M0_56;61;12;ISO-8859-1;APACHE;NA;526;DE;NA;10/09/2003 0:00;11/09/2016 0:00;WIGGLEWOO.COM;0;0;0;0;0;0;0;2;124;0;NA;NA;NA;0;0;MALIGNA
M0_57;41;11;UTF-8;PROXY PANDEIRO UOL;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;27103;BR;NA;NA;NA;XPG.COM.BR;22;0;3;2316;0;0;26;28;31378;2640;NA;NA;NA;26;4;MALIGNA
M0_58;52;14;NA;APACHE;PUBLIC;NA;CN;BEI JING;1/03/2005 0:00;7/09/2016 0:00;HEIMA8.COM;14;1;8;1151;0;0;18;15;1211;1445;273889;NA;NA;18;4;MALIGNA
M0_59;33;9;UTF-8;NGINX;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;NA;NA;NA;9/02/2000 14:17;NA;FRONT.RU;14;1;8;1151;0;0;18;15;1211;1445;273889;NA;NA;18;4;MALIGNA
M0_60;37;9;ISO-8859-1;APACHE;NA;188;NA;NA;NA;NA;OBYZ.DE;19;0;6;1525;0;0;21;13;1363;1667;425317;NA;NA;21;2;MALIGNA
M0_61;85;13;UTF-8;APACHE;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;8364;US;WASHINGTON;14/03/2004 0:00;15/03/2017 0:00;CALLINGCARDSINSTANTLY.COM;37;0;8;3630;0;0;43;40;34113;4118;NA;NA;NA;43;6;MALIGNA
M0_62;75;13;UTF-8;APACHE;NA;193;US;PA;20/08/2014 0:00;20/10/2016 0:00;DAWNFRAMING.COM;8;0;6;801;0;0;10;9;677;951;NA;NA;NA;10;2;MALIGNA
M0_63;84;15;UTF-8;APACHE;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;11323;US;WASHINGTON;8/03/2003 0:00;9/03/2017 0:00;FREE-CROCHET-PATTERN.COM;25;0;5;2262;0;0;29;27;33205;2588;NA;NA;NA;29;4;MALIGNA
M0_64;43;11;ISO-8859-1;APACHE;NA;NA;NA;NA;3/03/2000 0:00;8/12/2015 0:00;SPORTSULSAN.CO.KR;10;0;5;925;0;0;12;12;1399;1079;429476;NA;NA;12;2;MALIGNA
M0_67;27;7;UTF-8;APACHE;NO-STORE, NO-CACHE, MUST-REVALIDATE, POST-CHECK=0, PRE-CHECK=0;8756;GB;WC1N;16/06/2000 0:00;16/02/2016 0:00;TRAFFICGROWTH.COM;38;0;3;4207;0;0;44;45;39662;4679;NA;NA;NA;44;6;MALIGNA
M0_68;26;7;ISO-8859-1;APACHE;NA;962;GB;WC1N;25/09/2000 0:00;18/07/2016 0:00;THCVAPORIZER.COM;9;0;4;842;0;0;11;12;2101;994;431700;NA;NA;11;2;MALIGNA
M0_69;22;7;US-ASCII;MICROSOFT-HTTPAPI;NA;324;US;CO;15/09/2013 0:00;25/02/2017 0:00;ROORBONG.COM;9;0;4;850;0;0;11;9;1354;994;432210;NA;NA;11;2;MALIGNA
M0_70;26;7;ISO-8859-1;APACHE;NA;962;GB;WC1N;9/04/2002 0:00;10/04/2017 0:00;THCEXTRACTOR.COM;7;0;2;722;0;0;11;10;2000;1016;432682;NA;NA;11;4;MALIGNA
M0_71;21;7;ISO-8859-1;APACHE;NA;957;UK;NA;16/07/2000 0:00;4/07/2015 0:00;PURETHC.COM;7;0;1;717;0;0;11;10;1960;1011;433152;NA;NA;11;4;MALIGNA
M0_72;26;7;ISO-8859-1;APACHE;NA;962;GB;WC1N;9/04/2002 0:00;10/04/2017 0:00;POTVAPORIZER.COM;7;0;2;722;0;0;11;9;1913;1036;433628;NA;NA;11;4;MALIGNA
M0_73;31;7;US-ASCII;MICROSOFT-IIS;NA;324;US;CA;9/04/2002 0:00;20/03/2017 0:00;PORTABLEVAPORIZER.COM;7;0;2;707;0;0;11;11;1018;1031;NA;NA;NA;11;4;MALIGNA
M0_74;29;7;US-ASCII;MICROSOFT-HTTPAPI;NA;324;UG;KIREKA;9/04/2002 0:00;18/04/2017 0:00;CANNABISPICTURE.COM;5;0;2;593;0;0;7;8;1128;751;437423;NA;NA;7;2;MALIGNA
M0_75;27;7;UTF-8;APACHE;NA;193;US;PA;19/01/2015 0:00;3/03/2017 0:00;CANNABISLYRIC.COM;9;0;1;1838;0;0;11;13;4524;1992;NA;NA;NA;11;2;MALIGNA
M0_80;53;12;ISO-8859-1;NGINX;NA;242;US;ALABAMA;9/02/2007 0:00;9/02/2017 0:00;PURPLEHORSES.NET;8;0;1;1156;0;0;10;10;2638;1316;440904;NA;NA;10;2;MALIGNA
