URL;URL_LENGTH;SERVER;DURATION;TIPO
B0_468;25;APACHE;12168965;BENIGNA
B0_568;25;NGINX;14770467;BENIGNA
B0_577;25;NONE;NA;BENIGNA
B0_704;25;APACHE;NA;BENIGNA
B0_781;25;APACHE;NA;BENIGNA
B0_786;25;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_886;25;APACHE;NA;BENIGNA
M0_111;26;NGINX;493520;MALIGNA
M0_15;26;NGINX;4294935825;MALIGNA
M0_171;26;NGINX;1137850;MALIGNA
M0_68;26;APACHE;431700;MALIGNA
M0_70;26;APACHE;432682;MALIGNA
M0_72;26;APACHE;433628;MALIGNA
B0_1125;26;NGINX;NA;BENIGNA
B0_1205;26;CLOUDFLARE-NGINX;NA;BENIGNA
B0_1321;26;NGINX;NA;BENIGNA
B0_1374;26;APACHE;NA;BENIGNA
B0_159;26;APACHE;3946735;BENIGNA
B0_173;26;NGINX;4348078;BENIGNA
B0_179;26;TSA_C;4495156;BENIGNA
B0_2027;26;NGINX;NA;BENIGNA
B0_2152;26;APACHE;NA;BENIGNA
B0_2293;26;NONE;NA;BENIGNA
B0_256;26;APACHE;NA;BENIGNA
B0_258;26;NGINX;6579480;BENIGNA
B0_297;26;NGINX;7522865;BENIGNA
B0_660;26;CLOUDFLARE-NGINX;NA;BENIGNA
B0_793;26;NGINX;NA;BENIGNA
B0_859;26;NONE;NA;BENIGNA
B0_883;26;CLOUDFLARE-NGINX;NA;BENIGNA
B0_928;26;NGINX;NA;BENIGNA
B0_982;26;NGINX;NA;BENIGNA
M0_67;27;APACHE;NA;MALIGNA
M0_75;27;APACHE;NA;MALIGNA
B0_1209;27;NGINX;NA;BENIGNA
B0_1353;27;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_2085;27;OPENRESTY;NA;BENIGNA
B0_362;27;APACHE;9217729;BENIGNA
B0_453;27;APACHE;11994770;BENIGNA
B0_966;27;APACHE;NA;BENIGNA
M0_21;28;APACHE;4294940333;MALIGNA
M0_94;28;MICROSOFT-HTTPAPI;NA;MALIGNA
B0_1020;28;NGINX;NA;BENIGNA
B0_1038;28;NONE;NA;BENIGNA
B0_1357;28;APACHE;NA;BENIGNA
B0_1413;28;CLOUDFLARE-NGINX;NA;BENIGNA
B0_2061;28;NONE;NA;BENIGNA
B0_2182;28;CLOUDFLARE-NGINX;NA;BENIGNA
B0_2228;28;MICROSOFT-IIS;NA;BENIGNA
B0_229;28;APACHE;5835342;BENIGNA
B0_2309;28;APACHE;11773578;BENIGNA
B0_310;28;MICROSOFT-IIS;NA;BENIGNA
B0_332;28;APACHE;8229499;BENIGNA
B0_438;28;GSE;11224334;BENIGNA
B0_563;28;APACHE;14760443;BENIGNA
B0_638;28;APACHE;NA;BENIGNA
B0_695;28;MICROSOFT-HTTPAPI;18451221;BENIGNA
B0_835;28;PEPYAKA;NA;BENIGNA
B0_96;28;NONE;NA;BENIGNA
B0_981;28;NGINX;NA;BENIGNA
M0_106;29;APACHE;488565;MALIGNA
M0_74;29;MICROSOFT-HTTPAPI;437423;MALIGNA
B0_1044;29;APACHE;NA;BENIGNA
B0_1051;29;TSA_C;NA;BENIGNA
B0_1095;29;APACHE;NA;BENIGNA
B0_1096;29;APACHE;NA;BENIGNA
B0_1117;29;NGINX;NA;BENIGNA
B0_1154;29;APACHE;NA;BENIGNA
B0_1287;29;APACHE;NA;BENIGNA
B0_1408;29;APACHE;NA;BENIGNA
B0_170;29;APACHE;4271106;BENIGNA
B0_2024;29;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_2089;29;APACHE;NA;BENIGNA
B0_2123;29;APACHE;NA;BENIGNA
B0_2128;29;APACHE;NA;BENIGNA
B0_2166;29;NONE;NA;BENIGNA
B0_2242;29;NGINX;NA;BENIGNA
B0_2266;29;APACHE;NA;BENIGNA
B0_259;29;MICROSOFT-HTTPAPI;6648440;BENIGNA
B0_44;29;NONE;NA;BENIGNA
B0_448;29;APACHE;NA;BENIGNA
B0_499;29;GSE;12606822;BENIGNA
B0_626;29;TENGINE;NA;BENIGNA
B0_642;29;APACHE;16708001;BENIGNA
B0_726;29;APACHE;19160540;BENIGNA
B0_887;29;APACHE;NA;BENIGNA
B0_894;29;APACHE;NA;BENIGNA
B0_920;29;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_942;29;NGINX;NA;BENIGNA
B0_978;29;NONE;NA;BENIGNA
M0_112;30;APACHE;NA;MALIGNA
B0_1052;30;APACHE;NA;BENIGNA
B0_1388;30;APACHE;NA;BENIGNA
B0_160;30;NGINX;3949953;BENIGNA
B0_169;30;NONE;4269715;BENIGNA
B0_209;30;APACHE;NA;BENIGNA
B0_2097;30;SUN-ONE-WEB-SERVER;NA;BENIGNA
B0_2206;30;APACHE;NA;BENIGNA
B0_2282;30;APACHE;NA;BENIGNA
B0_330;30;NGINX;8227783;BENIGNA
B0_348;30;MICROSOFT-HTTPAPI;8852912;BENIGNA
B0_369;30;APACHE;NA;BENIGNA
B0_560;30;NONE;NA;BENIGNA
B0_639;30;NONE;16632855;BENIGNA
B0_711;30;AMAZONS3;NA;BENIGNA
B0_73;30;APACHE;2751849;BENIGNA
B0_824;30;CLOUDFLARE-NGINX;NA;BENIGNA
B0_891;30;NONE;NA;BENIGNA
B0_931;30;APACHE;NA;BENIGNA
M0_73;31;MICROSOFT-IIS;NA;MALIGNA
B0_1028;31;ATS;NA;BENIGNA
B0_1114;31;APACHE;NA;BENIGNA
B0_1127;31;APACHE;NA;BENIGNA
B0_1241;31;APACHE;NA;BENIGNA
B0_140;31;NONE;3485685;BENIGNA
B0_2158;31;APACHE;NA;BENIGNA
B0_2278;31;CHERRYPY;NA;BENIGNA
B0_263;31;APACHE;6651392;BENIGNA
B0_501;31;NGINX;12668187;BENIGNA
B0_504;31;APACHE;12688010;BENIGNA
B0_597;31;MICROSOFT-IIS;NA;BENIGNA
B0_65;31;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_658;31;APACHE;NA;BENIGNA
B0_698;31;MICROSOFT-HTTPAPI;18468649;BENIGNA
B0_705;31;APACHE;NA;BENIGNA
B0_761;31;NONE;20017767;BENIGNA
B0_850;31;APACHE;NA;BENIGNA
B0_945;31;APACHE;NA;BENIGNA
B0_992;31;APACHE;NA;BENIGNA
M0_136;32;NGINX;774472;MALIGNA
M0_140;32;NGINX;820462;MALIGNA
B0_1175;32;SERVER;NA;BENIGNA
B0_1181;32;NONE;NA;BENIGNA
B0_1222;32;SERVER;NA;BENIGNA
B0_128;32;KHL;3258932;BENIGNA
B0_1341;32;APACHE;NA;BENIGNA
B0_1372;32;APACHE;NA;BENIGNA
B0_1381;32;NGINX;NA;BENIGNA
B0_14;32;NGINX;NA;BENIGNA
B0_165;32;NONE;4230313;BENIGNA
B0_176;32;APACHE;NA;BENIGNA
B0_2015;32;NONE;NA;BENIGNA
B0_2095;32;MICROSOFT-IIS;NA;BENIGNA
B0_218;32;APACHE;5644438;BENIGNA
B0_2229;32;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_2271;32;APACHE;NA;BENIGNA
B0_254;32;APACHE;6427162;BENIGNA
B0_303;32;APACHE;7718494;BENIGNA
B0_40;32;APACHE;1608322;BENIGNA
B0_400;32;SERVER;NA;BENIGNA
B0_437;32;SERVER;NA;BENIGNA
B0_491;32;NONE;12351260;BENIGNA
B0_507;32;GSE;12723000;BENIGNA
B0_582;32;NGINX;15046267;BENIGNA
B0_937;32;NONE;NA;BENIGNA
M0_122;33;NGINX;551291;MALIGNA
M0_125;33;NGINX;597978;MALIGNA
M0_138;33;NGINX;804978;MALIGNA
M0_142;33;NGINX;NA;MALIGNA
M0_59;33;NGINX;273889;MALIGNA
M0_96;33;NGINX;472983;MALIGNA
B0_1068;33;CLOUDFLARE-NGINX;NA;BENIGNA
B0_1101;33;SERVER;NA;BENIGNA
B0_1141;33;SERVER;NA;BENIGNA
B0_1190;33;NONE;NA;BENIGNA
B0_1239;33;APACHE;NA;BENIGNA
B0_1288;33;APACHE;NA;BENIGNA
B0_1350;33;NGINX;NA;BENIGNA
B0_1390;33;NONE;NA;BENIGNA
B0_1419;33;APACHE;NA;BENIGNA
B0_163;33;SERVER;NA;BENIGNA
B0_2100;33;APACHE;NA;BENIGNA
B0_2126;33;APACHE;NA;BENIGNA
B0_215;33;MW2114.CODFW.WMNET;5637810;BENIGNA
B0_2155;33;GSE;NA;BENIGNA
B0_2205;33;APACHE;NA;BENIGNA
B0_2219;33;APACHE;NA;BENIGNA
B0_2289;33;SERVER;NA;BENIGNA
B0_312;33;MICROSOFT-IIS;7911862;BENIGNA
B0_570;33;APACHE;14772649;BENIGNA
B0_652;33;JETTY(9.0.Z-SNAPSHOT);NA;BENIGNA
B0_783;33;APACHE;NA;BENIGNA
M0_130;34;NGINX;687127;MALIGNA
M0_159;34;NGINX;1072136;MALIGNA
M0_166;34;CLOUDFLARE-NGINX;1120681;MALIGNA
M0_180;34;APACHE;1158306;MALIGNA
B0_1036;34;NGINX;NA;BENIGNA
B0_1054;34;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_1087;34;NONE;NA;BENIGNA
B0_110;34;NONE;3152769;BENIGNA
B0_1207;34;NGINX;NA;BENIGNA
B0_1337;34;NONE;NA;BENIGNA
B0_1342;34;APACHE;NA;BENIGNA
B0_1382;34;NGINX;NA;BENIGNA
B0_2098;34;APACHE;NA;BENIGNA
B0_2104;34;NGINX;NA;BENIGNA
B0_2124;34;NONE;NA;BENIGNA
B0_2125;34;CLOUDFLARE-NGINX;NA;BENIGNA
B0_2142;34;APACHE;NA;BENIGNA
B0_2221;34;APACHE;NA;BENIGNA
B0_2320;34;HTTPDAEMON;NA;BENIGNA
B0_322;34;APACHE;8004495;BENIGNA
B0_460;34;GSE;12072507;BENIGNA
B0_493;34;NONE;NA;BENIGNA
B0_586;34;APACHE;15116517;BENIGNA
B0_688;34;APACHE;NA;BENIGNA
B0_746;34;NGINX;19456240;BENIGNA
B0_760;34;NGINX;19867214;BENIGNA
B0_864;34;MEDIAFIRE;NA;BENIGNA
B0_897;34;APACHE;NA;BENIGNA
B0_961;34;MICROSOFT-IIS;NA;BENIGNA
M0_107;35;APACHE;489087;MALIGNA
M0_108;35;APACHE;489598;MALIGNA
M0_110;35;APACHE;490801;MALIGNA
M0_123;35;NGINX;566538;MALIGNA
M0_124;35;NGINX;582752;MALIGNA
M0_127;35;NGINX;625035;MALIGNA
M0_135;35;NGINX;759305;MALIGNA
M0_137;35;NGINX;789627;MALIGNA
M0_148;35;NGINX;917466;MALIGNA
M0_152;35;NGINX;964185;MALIGNA
M0_165;35;CLOUDFLARE-NGINX;1118192;MALIGNA
B0_1029;35;DOSARREST;NA;BENIGNA
B0_1148;35;MW2232.CODFW.WMNET;NA;BENIGNA
B0_1299;35;NGINX;NA;BENIGNA
B0_144;35;MICROSOFT-IIS;NA;BENIGNA
B0_183;35;SERVER;NA;BENIGNA
B0_194;35;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_2026;35;NGINX;NA;BENIGNA
B0_2067;35;NGINX;NA;BENIGNA
B0_2087;35;APACHE;NA;BENIGNA
B0_2144;35;ATS;NA;BENIGNA
B0_2156;35;SUCURI;NA;BENIGNA
B0_2270;35;APACHE;NA;BENIGNA
B0_2295;35;SERVER;NA;BENIGNA
B0_2319;35;APACHE;NA;BENIGNA
B0_308;35;MICROSOFT-HTTPAPI;7880147;BENIGNA
B0_337;35;GSE;8375690;BENIGNA
B0_385;35;SERVER;NA;BENIGNA
B0_461;35;CLOUDFLARE-NGINX;NA;BENIGNA
B0_573;35;NONE;14777299;BENIGNA
B0_717;35;GSE;18926374;BENIGNA
B0_739;35;APACHE;19389293;BENIGNA
B0_807;35;APACHE;NA;BENIGNA
B0_82;35;SERVER;NA;BENIGNA
B0_9;35;APACHE;727022;BENIGNA
B0_965;35;NONE;NA;BENIGNA
B0_971;35;APACHE;NA;BENIGNA
M0_121;36;NGINX;NA;MALIGNA
M0_129;36;NGINX;NA;MALIGNA
M0_131;36;NGINX;702417;MALIGNA
M0_133;36;NGINX;717756;MALIGNA
M0_134;36;NGINX;743636;MALIGNA
M0_157;36;NGINX;1041657;MALIGNA
M0_169;36;CLOUDFLARE-NGINX;NA;MALIGNA
B0_1042;36;NGINX;NA;BENIGNA
B0_1049;36;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_1277;36;NGINX;NA;BENIGNA
B0_1306;36;NGINX;NA;BENIGNA
B0_1359;36;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_1363;36;NONE;NA;BENIGNA
B0_197;36;NGINX;5226360;BENIGNA
B0_200;36;APACHE;5247785;BENIGNA
B0_2101;36;NGINX;NA;BENIGNA
B0_2250;36;NGINX;NA;BENIGNA
B0_2260;36;MW2260.CODFW.WMNET;NA;BENIGNA
B0_2290;36;APACHE;NA;BENIGNA
B0_290;36;CLOUDFLARE-NGINX;NA;BENIGNA
B0_305;36;APACHE;7727354;BENIGNA
B0_366;36;MW2239.CODFW.WMNET;9236503;BENIGNA
B0_444;36;MICROSOFT-HTTPAPI;11559411;BENIGNA
B0_445;36;DPS;11710126;BENIGNA
B0_474;36;APACHE;12246368;BENIGNA
B0_487;36;CLOUDFLARE-NGINX;NA;BENIGNA
B0_60;36;APACHE;2392174;BENIGNA
B0_69;36;APACHE;2573099;BENIGNA
B0_701;36;APACHE;18623912;BENIGNA
B0_809;36;APACHE;NA;BENIGNA
B0_952;36;APACHE;NA;BENIGNA
B0_990;36;GSE;NA;BENIGNA
M0_101;37;APACHE;485921;MALIGNA
M0_115;37;APACHE;NA;MALIGNA
M0_16;37;NGINX;NA;MALIGNA
M0_176;37;APACHE;1142408;MALIGNA
M0_179;37;NGINX;1154896;MALIGNA
M0_60;37;APACHE;425317;MALIGNA
B0_1008;37;APACHE;NA;BENIGNA
B0_1167;37;APACHE;NA;BENIGNA
B0_1196;37;APACHE;NA;BENIGNA
B0_1204;37;APACHE;NA;BENIGNA
B0_1219;37;APACHE;NA;BENIGNA
B0_1316;37;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_1398;37;NGINX;NA;BENIGNA
B0_1402;37;CLOUDFLARE-NGINX;NA;BENIGNA
B0_2056;37;APACHE;NA;BENIGNA
B0_2093;37;NGINX;NA;BENIGNA
B0_2116;37;ATS;NA;BENIGNA
B0_2143;37;NONE;NA;BENIGNA
B0_2230;37;APACHE;NA;BENIGNA
B0_2277;37;APACHE;NA;BENIGNA
B0_361;37;OPENRESTY;NA;BENIGNA
B0_386;37;APACHE;9623688;BENIGNA
B0_450;37;NONE;NA;BENIGNA
B0_457;37;NGINX;12045897;BENIGNA
B0_476;37;NGINX;12259803;BENIGNA
B0_59;37;NGINX;2391727;BENIGNA
B0_593;37;NONE;15234022;BENIGNA
B0_646;37;NGINX;16804797;BENIGNA
B0_677;37;ATS;17606950;BENIGNA
B0_777;37;APACHE;NA;BENIGNA
B0_946;37;NONE;NA;BENIGNA
B0_947;37;GSE;NA;BENIGNA
M0_120;38;APACHE;NA;MALIGNA
M0_151;38;NGINX;949127;MALIGNA
M0_42;38;APACHE;4294951689;MALIGNA
M0_43;38;APACHE;4294953475;MALIGNA
M0_90;38;NGINX;470003;MALIGNA
B0_1019;38;APACHE;NA;BENIGNA
B0_1030;38;NONE;NA;BENIGNA
B0_109;38;APACHE;3152328;BENIGNA
B0_1100;38;CLOUDFLARE-NGINX;NA;BENIGNA
B0_1224;38;NGINX;NA;BENIGNA
B0_127;38;APACHE;3249348;BENIGNA
B0_1289;38;APACHE;NA;BENIGNA
B0_1329;38;APACHE;NA;BENIGNA
B0_1349;38;NONE;NA;BENIGNA
B0_1365;38;NGINX;NA;BENIGNA
B0_1387;38;APACHE;NA;BENIGNA
B0_1403;38;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_1404;38;GSE;NA;BENIGNA
B0_184;38;NONE;4742971;BENIGNA
B0_2011;38;NONE;NA;BENIGNA
B0_2118;38;APACHE;NA;BENIGNA
B0_2138;38;APACHE;NA;BENIGNA
B0_2213;38;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_2274;38;SERVER;NA;BENIGNA
B0_246;38;NONE;6234715;BENIGNA
B0_295;38;ATS;7493202;BENIGNA
B0_34;38;NONE;1282209;BENIGNA
B0_360;38;MICROSOFT-HTTPAPI;9206535;BENIGNA
B0_37;38;MICROSOFT-HTTPAPI;1439915;BENIGNA
B0_41;38;APACHE;1609463;BENIGNA
B0_428;38;SSWS;10717927;BENIGNA
B0_441;38;APACHE;NA;BENIGNA
B0_464;38;MICROSOFT-IIS;NA;BENIGNA
B0_496;38;APACHE;12522757;BENIGNA
B0_536;38;APACHE;13730568;BENIGNA
B0_624;38;APACHE;16035867;BENIGNA
B0_721;38;GSE;19086076;BENIGNA
B0_737;38;NONE;19351530;BENIGNA
B0_813;38;CLOUDFLARE-NGINX;NA;BENIGNA
B0_90;38;GSE;2923007;BENIGNA
B0_914;38;APACHE;NA;BENIGNA
B0_918;38;GSE;NA;BENIGNA
B0_927;38;CLOUDFLARE-NGINX;NA;BENIGNA
M0_141;39;NGINX;NA;MALIGNA
M0_144;39;NGINX;846877;MALIGNA
M0_145;39;NGINX;872081;MALIGNA
M0_150;39;NGINX;934134;MALIGNA
M0_44;39;APACHE;4294955245;MALIGNA
M0_91;39;NGINX;470466;MALIGNA
B0_1009;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1050;39;APACHE;NA;BENIGNA
B0_1061;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1065;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1079;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1084;39;NGINX;NA;BENIGNA
B0_1099;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1108;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1161;39;APACHE;NA;BENIGNA
B0_1174;39;NGINX;NA;BENIGNA
B0_1176;39;NGINX;NA;BENIGNA
B0_1178;39;HTTPDAEMON;NA;BENIGNA
B0_1198;39;GSE;NA;BENIGNA
B0_1210;39;APACHE;NA;BENIGNA
B0_1234;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_125;39;NONE;NA;BENIGNA
B0_1252;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1279;39;APACHE;NA;BENIGNA
B0_1285;39;NGINX;NA;BENIGNA
B0_1300;39;GSE;NA;BENIGNA
B0_1338;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1344;39;APACHE;NA;BENIGNA
B0_138;39;YOUTUBEFRONTEND;3413435;BENIGNA
B0_1380;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_1384;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_155;39;NGINX;3888704;BENIGNA
B0_19;39;YOUTUBEFRONTEND;783006;BENIGNA
B0_195;39;YOUTUBEFRONTEND;5206231;BENIGNA
B0_2004;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2052;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2079;39;YOUTUBEFRONTEND;4079534;BENIGNA
B0_2103;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2121;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2136;39;APACHE;NA;BENIGNA
B0_2160;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2179;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2193;39;ATS;NA;BENIGNA
B0_2202;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_2241;39;AMAZONS3;NA;BENIGNA
B0_2244;39;NGINX;NA;BENIGNA
B0_2269;39;APACHE;NA;BENIGNA
B0_2284;39;CLOUDFLARE-NGINX;NA;BENIGNA
B0_2285;39;CLOUDFLARE-NGINX;NA;BENIGNA
B0_2291;39;APACHE;NA;BENIGNA
B0_2297;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_233;39;YOUTUBEFRONTEND;6014723;BENIGNA
B0_253;39;APACHE;6426229;BENIGNA
B0_273;39;YOUTUBEFRONTEND;6923894;BENIGNA
B0_345;39;CLOUDFLARE-NGINX;NA;BENIGNA
B0_356;39;YOUTUBEFRONTEND;9050047;BENIGNA
B0_389;39;APACHE;9631596;BENIGNA
B0_392;39;NGINX;9652509;BENIGNA
B0_393;39;YOUTUBEFRONTEND;9802837;BENIGNA
B0_471;39;NONE;12242527;BENIGNA
B0_480;39;NGINX;12279344;BENIGNA
B0_50;39;MICROSOFT-HTTPAPI;1736864;BENIGNA
B0_523;39;NGINX;12920938;BENIGNA
B0_606;39;CLOUDFLARE-NGINX;15582979;BENIGNA
B0_61;39;YOUTUBEFRONTEND;2392537;BENIGNA
B0_631;39;YOUTUBEFRONTEND;16278641;BENIGNA
B0_632;39;APACHE;NA;BENIGNA
B0_644;39;YOUTUBEFRONTEND;16771638;BENIGNA
B0_666;39;YOUTUBEFRONTEND;17380298;BENIGNA
B0_710;39;NGINX;18872077;BENIGNA
B0_742;39;YOUTUBEFRONTEND;19393915;BENIGNA
B0_795;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_820;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_830;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_839;39;SQUEEGIT;NA;BENIGNA
B0_841;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_85;39;YOUTUBEFRONTEND;2864160;BENIGNA
B0_854;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_865;39;APACHE;NA;BENIGNA
B0_870;39;APACHE;NA;BENIGNA
B0_876;39;VIRTUOSO;NA;BENIGNA
B0_900;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_902;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_915;39;NGINX;NA;BENIGNA
B0_948;39;YOUTUBEFRONTEND;NA;BENIGNA
B0_988;39;YOUTUBEFRONTEND;NA;BENIGNA
M0_126;40;NGINX;625035;MALIGNA
M0_139;40;NGINX;820462;MALIGNA
M0_143;40;NGINX;846877;MALIGNA
M0_158;40;NGINX;1056821;MALIGNA
M0_160;40;NGINX;1087542;MALIGNA
M0_39;40;APACHE;4294946623;MALIGNA
M0_45;40;APACHE;4294957029;MALIGNA
B0_1011;40;APACHE-COYOTE;NA;BENIGNA
B0_1017;40;MW2239.CODFW.WMNET;NA;BENIGNA
B0_1033;40;GSE;NA;BENIGNA
B0_1075;40;YIPPEE-KI-YAY;NA;BENIGNA
B0_1116;40;APACHE;NA;BENIGNA
B0_1142;40;GSE;NA;BENIGNA
B0_116;40;APACHE;NA;BENIGNA
B0_1195;40;NONE;NA;BENIGNA
B0_1228;40;CLOUDFLARE-NGINX;NA;BENIGNA
B0_1244;40;CLOUDFLARE-NGINX;NA;BENIGNA
B0_1311;40;APACHE;NA;BENIGNA
B0_1383;40;APACHE;NA;BENIGNA
B0_1415;40;NGINX;NA;BENIGNA
B0_2010;40;MW2165.CODFW.WMNET;NA;BENIGNA
B0_2034;40;GSE;NA;BENIGNA
B0_2068;40;MW2192.CODFW.WMNET;NA;BENIGNA
B0_2148;40;MICROSOFT-HTTPAPI;NA;BENIGNA
B0_222;40;APACHE;5674404;BENIGNA
B0_2275;40;APACHE;NA;BENIGNA
B0_2323;40;NONE;NA;BENIGNA
B0_251;40;LITESPEED;6416276;BENIGNA
B0_309;40;NONE;7889707;BENIGNA
B0_349;40;NGINX;8858811;BENIGNA
B0_353;40;ATS;8891403;BENIGNA
B0_376;40;APACHE;9333178;BENIGNA
B0_391;40;MICROSOFT-HTTPAPI;9645793;BENIGNA
B0_409;40;NONE;10074832;BENIGNA
B0_416;40;NGINX;10315239;BENIGNA
B0_442;40;NGINX;11555992;BENIGNA
B0_520;40;MICROSOFT-IIS;12853907;BENIGNA
B0_552;40;APACHE;14045457;BENIGNA
B0_562;40;APACHE;14750745;BENIGNA
B0_590;40;NONE;15180180;BENIGNA
B0_685;40;NGINX;17842376;BENIGNA
B0_697;40;NGINX;NA;BENIGNA
B0_703;40;NONE;NA;BENIGNA
B0_765;40;GSE;20224783;BENIGNA
B0_803;40;CLOUDFLARE-NGINX;NA;BENIGNA
B0_863;40;NGINX + PHUSION PASSENGER;NA;BENIGNA
B0_976;40;GSE;NA;BENIGNA
B0_980;40;ATS;NA;BENIGNA
M0_116;41;NGINX;508580;MALIGNA
M0_156;41;NGINX;1025859;MALIGNA
M0_52;41;APACHE;1263;MALIGNA
M0_57;41;PROXY PANDEIRO UOL;NA;MALIGNA
M0_92;41;NGINX;470878;MALIGNA
B0_107;41;NGINX;3119196;BENIGNA
B0_1283;41;NGINX;NA;BENIGNA
B0_1296;41;APACHE;NA;BENIGNA
B0_1373;41;NGINX;NA;BENIGNA
